indv,ecotype,treatment,group,tank,mass ,length,mitoprotein.ml,mitoprotein.gWM,state2.ml,state2.mg,state3.ml,state3.mg,state4.ml,state4.mg,RCR,ACR,flux1.4.ml,flux1.4.mg,flux2.4.ml,flux2.4.mg,flux.cox.ml,flux.cox.mg,notes1
WP1,dwarf,swim,DS,1,3.2197,7.58,6.25,0.622,74.0,11.8,404.2,64.7,137.8,22.0,2.9,5.5,350.5,56.1,89.8,14.4,955.9,152.9,mitoprotein.ml=mitochondrial protein per mL mito resuspension (from BSA assay)
WP2,dwarf,control,DC,2,4.188,7.959,5.26,0.526,42.3,8.1,344.9,65.6,128.7,24.5,2.7,8.1,404.8,77.0,121.2,23.0,388.4,73.8,mitoprotein.gWM1= mitochondrial protein per gram tissue based upon calculations from uL buffer added
WP3,normal,swim,NS,3,3.2915,6.501,4.49,0.458,24.3,5.4,261.3,58.2,122.5,27.3,2.1,10.8,286.4,63.8,98.0,21.8,264.0,58.8,
WP4,normal,control,NC,4,4.6945,7.84,3.4,0.260,33.5,9.9,331.9,97.6,90.0,26.5,3.7,9.9,405.9,119.4,96.0,28.2,750.7,220.8,
WP5,normal,control,NC,5,4.2127,7.582,3.49,0.347,28.3,8.1,266.1,76.2,63.7,18.3,4.2,9.4,310.8,89.1,97.3,27.9,608.3,174.3,
WP6,normal,swim,NS,6,3.7213,7.133,4.16,0.435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WP7,normal,control,NC,7,3.991,7.766,5.28,0.541,27.7,5.2,249.2,47.2,77.4,14.7,3.2,9.0,388.8,73.6,47.9,9.1,671.8,127.2,
WP8,dwarf,swim,DS,8,5.8855,9.091,4.84,0.484,53.4,11.0,548.8,113.4,69.0,14.2,8.0,10.3,675.8,139.6,171.1,35.4,1143.5,236.3,
WP9,normal,swim,NS,8,4.5422,7.742,2.92,0.299,34.9,12.0,248.3,85.0,61.8,21.2,4.0,7.1,281.3,96.3,59.7,20.5,687.1,235.3,
WP10,normal,control,NC,7,4.8839,NA,4.22,0.427,39.3,9.3,306.7,72.7,59.1,14.0,5.2,7.8,374.8,88.8,94.9,22.5,748.6,177.4,
WP11,dwarf,swim,DS,6,6.3229,9.511,4.51,0.454,38.7,8.6,331.4,73.5,46.1,10.2,7.2,8.6,400.9,88.9,131.7,29.2,1094.3,242.6,
WP12,normal,control,NC,5,3.0905,6.87,3.13,0.351,30.0,9.6,157.4,50.3,63.3,20.2,2.5,5.3,166.0,53.0,52.6,16.8,632.8,202.2,
WP13,dwarf,control,DC,4,5.003,8.698,5.42,0.548,48.1,8.9,299.3,55.2,82.8,15.3,3.6,6.2,357.2,65.9,110.5,20.4,1016.0,187.5,
WP14,dwarf,swim,DS,3,4.8602,8.567,5.58,0.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WP15,dwarf,control,DC,2,4.1053,7.636,4.62,0.464,NA,NA,325.8,70.5,24.1,5.2,13.5,NA,417.1,90.3,140.0,30.3,1213.1,262.6,
WP16,dwarf,swim,DS,1,4.0217,NA,4.34,0.437,35.6,8.2,187.6,43.2,67.4,15.5,2.8,5.3,179.8,41.4,62.0,14.3,620.3,142.9,
WP17,dwarf,swim,DS,1,6.8106,9.521,5.38,0.548,38.4,7.1,285.5,53.1,80.7,15.0,3.5,7.4,350.6,65.2,77.0,14.3,1046.6,194.5,
