oaw,nutrient,mesocosm,sib,area0,area1,meanrate
OAW-,N-,a,Sibling1,0.011,0.0455,2.668
OAW-,N-,b,Sibling1,0.011,0.0913,4.0009
OAW-,N-,c,Sibling1,0.011,0.0776,3.6887
OAW-,N-,a,Sibling2,0.0087,0.0369,2.7148
OAW-,N-,b,Sibling2,0.0087,0.0756,4.087
OAW-,N-,c,Sibling2,0.0087,0.061,3.6752
OAW-,N-,a,Sibling3,0.0136,0.0385,1.9509
OAW-,N-,b,Sibling3,0.0136,0.0459,2.2847
OAW-,N-,c,Sibling3,0.0136,0.0562,2.6687
OAW-,N-,a,Sibling4,0.01,0.0473,2.9238
OAW-,N-,b,Sibling4,0.01,0.0491,2.9961
OAW-,N-,c,Sibling4,0.01,0.047,2.9143
OAW-,N-,a,Sibling5,0.0107,0.0419,2.5508
OAW-,N-,b,Sibling5,0.0107,0.0822,3.8401
OAW-,N-,c,Sibling5,0.0107,0.0634,3.3405
OAW-,N-,a,Sibling6,0.0096,0.0558,3.3168
OAW-,N-,b,Sibling6,0.0096,0.0363,2.4954
OAW-,N-,c,Sibling6,0.0096,0.0254,1.82
OAW-,N-,a,Sibling7,0.0068,0.0379,3.2359
OAW-,N-,b,Sibling7,0.0068,0.031,2.8512
OAW-,N-,c,Sibling7,0.0068,0.0499,3.763
OAW-,N-,a,Sibling8,0.01,0.0399,2.6002
OAW-,N-,b,Sibling8,0.01,0.0911,4.1803
OAW-,N-,c,Sibling8,0.01,0.0499,3.0271
OAW-,N-,a,Sibling9,0.0084,0.027,2.1806
OAW-,N-,b,Sibling9,0.0084,0.0794,4.2421
OAW-,N-,c,Sibling9,0.0084,0.0444,3.127
OAW-,N-,a,Sibling10,0.0092,0.0169,1.1268
OAW-,N-,b,Sibling10,0.0092,0.0397,2.7428
OAW-,N-,c,Sibling10,0.0092,0.0488,3.136
OAW-,N-,a,Sibling11,0.0116,0.0375,2.1956
OAW-,N-,b,Sibling11,0.0116,0.0789,3.6153
OAW-,N-,c,Sibling11,0.0116,0.0532,2.8625
OAW-,N-,a,Sibling12,0.0125,0.0467,2.4682
OAW-,N-,b,Sibling12,0.0125,0.0542,2.7535
OAW-,N-,c,Sibling12,0.0125,0.0522,2.6823
OAW-,N-,a,Sibling13,0.0095,0.0248,1.7994
OAW-,N-,b,Sibling13,0.0095,0.045,2.9264
OAW-,N-,c,Sibling13,0.0095,0.0604,3.4866
OAW-,N-,a,Sibling14,0.013,0.0173,0.5303
OAW-,N-,b,Sibling14,0.013,0.0499,2.5228
OAW-,N-,c,Sibling14,0.013,0.0603,2.8828
OAW-,N-,a,Sibling15,0.0115,0.0409,2.3802
OAW-,N-,b,Sibling15,0.0115,0.0593,3.0852
OAW-,N-,c,Sibling15,0.0115,0.0538,2.9016
OAW-,N-,a,Sibling16,0.009,0.0409,2.8424
OAW-,N-,b,Sibling16,0.009,0.0298,2.2374
OAW-,N-,c,Sibling16,0.009,0.0435,2.9598
OAW-,N+,d,Sibling1,0.011,0.0437,2.5931
OAW-,N+,e,Sibling1,0.011,0.0433,2.5721
OAW-,N+,f,Sibling1,0.011,0.0328,2.0475
OAW-,N+,d,Sibling2,0.0087,0.0372,2.7282
OAW-,N+,e,Sibling2,0.0087,0.0546,3.4606
OAW-,N+,f,Sibling2,0.0087,0.0709,3.9638
OAW-,N+,d,Sibling3,0.0136,0.0458,2.2795
OAW-,N+,e,Sibling3,0.0136,0.1025,3.8189
OAW-,N+,f,Sibling3,0.0136,0.067,3.0043
OAW-,N+,d,Sibling4,0.01,0.0555,3.2293
OAW-,N+,e,Sibling4,0.01,0.0587,3.3388
OAW-,N+,f,Sibling4,0.01,0.0823,3.9863
OAW-,N+,d,Sibling5,0.0107,0.0436,2.6247
OAW-,N+,e,Sibling5,0.0107,0.033,2.1014
OAW-,N+,f,Sibling5,0.0107,0.0547,3.0579
OAW-,N+,d,Sibling6,0.0096,0.0372,2.5412
OAW-,N+,e,Sibling6,0.0096,0.0727,3.8238
OAW-,N+,f,Sibling6,0.0096,0.0432,2.8289
OAW-,N+,d,Sibling7,0.0068,0.0488,3.7196
OAW-,N+,e,Sibling7,0.0068,0.0483,3.6995
