sizeclass,jar,day,day1,perc
b,1,3,3,0.052
b,2,3,3,0.096
b,3,3,3,0.052
b,4,3,3,0.078
b,5,3,3,0.081
b,6,3,3,0.058
b,7,3,3,0.091
b,8,3,3,0.064
b,9,3,3,0.07
b,10,3,3,0.071
s,11,3,3,0.064
s,12,3,3,0.139
s,13,3,3,0.05
s,14,3,3,0.061
s,15,3,3,0.096
s,16,3,3,0.132
s,17,3,3,0.054
s,18,3,3,0.088
s,19,3,3,0.153
s,20,3,3,0.096
b,1,6,6,0.612
b,2,6,6,0.754
b,3,6,6,0.649
b,4,6,6,0.638
b,5,6,6,0.903
b,6,6,6,0.395
b,7,6,6,0.634
b,8,6,6,0.627
b,9,6,6,0.423
b,10,6,6,0.618
s,11,6,6,0.936
s,12,6,6,0.422
s,13,6,6,0.862
s,14,6,6,0.813
s,15,6,6,0.726
s,16,6,6,0.826
s,17,6,6,0.931
s,18,6,6,0.66
s,19,6,6,0.715
s,20,6,6,0.726
b,1,9,9,0.856
b,2,9,9,1
b,3,9,9,0.857
b,4,9,9,0.816
b,5,9,9,1
b,6,9,9,0.845
b,7,9,9,0.993
b,8,9,9,0.942
b,9,9,9,0.676
b,10,9,9,0.885
s,11,9,9,0.968
s,12,9,9,0.939
s,13,9,9,1
s,14,9,9,0.951
s,15,9,9,0.877
s,16,9,9,0.893
s,17,9,9,0.985
s,18,9,9,0.892
s,19,9,9,0.861
s,20,9,9,0.974
b,1,12,12,0.826
b,2,12,12,1
b,3,12,12,1
b,4,12,12,1
b,5,12,12,1
b,6,12,12,0.992
b,7,12,12,1
b,8,12,12,0.928
b,9,12,12,1
b,10,12,12,0.911
s,11,12,12,1
s,12,12,12,1
s,13,12,12,1
s,14,12,12,0.959
s,15,12,12,1
s,16,12,12,0.917
s,17,12,12,1
s,18,12,12,1
s,19,12,12,1
s,20,12,12,1
b,1,15,15,0.94
b,2,15,15,1
b,3,15,15,1
b,4,15,15,1
b,5,15,15,1
b,6,15,15,1
b,7,15,15,1
b,8,15,15,0.994
b,9,15,15,1
b,10,15,15,1
s,11,15,15,1
s,12,15,15,1
s,13,15,15,1
s,14,15,15,1
s,15,15,15,1
s,16,15,15,0.975
s,17,15,15,1
s,18,15,15,1
s,19,15,15,1
s,20,15,15,1
