island,richness,maindist,isldist,precip
COR,178,1858,18,1338.5
FLO,272,1864,18,1492.9
FAI,281,1657,6,1076.5
PIC,279,1610,6,1123.2
GRA,129,1596,36,1093.8
SJO,308,1584,18,1111.3
TER,355,1520,37,1166.5
SMI,355,1368,80,1044.4
SMA,211,1376,80,765.4
FUE,130,95,11,120.5
CAN,306,195,61,250.6
GOM,291,333,28,373.4
HIE,195,381,61,311.2
LAN,114,125,11,148.4
PAL,348,414,57,441
TEN,430,286,28,436.6
DES,90,599,24,531.4
MAD,510,639,24,682.1
PSA,113,633,39,431.2
NIC,72,721,17,219.4
FOG,54,725,18,388.8
ANT,109,834,13,269.8
VIC,25,818,9,113.1
SAN,35,634,25,352.9
