diet,female,jar,length
starved,1,1,0.638
starved,1,1,0.533
starved,1,1,0.476
starved,1,1,0.359
starved,1,1,0.354
starved,1,1,0.576
starved,1,1,0.742
starved,1,1,0.495
starved,1,1,0.803
starved,1,1,0.493
starved,1,2,0.565
starved,1,2,0.411
starved,1,2,0.298
starved,1,2,0.515
starved,1,2,0.705
starved,1,2,0.569
starved,1,2,0.626
starved,1,2,0.576
starved,1,2,0.172
starved,1,2,0.642
starved,1,3,0.651
starved,1,3,0.758
starved,1,3,0.336
starved,1,3,0.879
starved,1,3,0.559
starved,1,3,0.624
starved,1,3,0.664
starved,1,3,0.465
starved,1,3,0.375
starved,1,3,0.807
starved,2,4,0.401
starved,2,4,0.489
starved,2,4,0.487
starved,2,4,0.696
starved,2,4,0.358
starved,2,4,0.549
starved,2,4,0.330
starved,2,4,0.430
starved,2,4,0.380
starved,2,4,0.468
starved,2,5,0.381
starved,2,5,0.508
starved,2,5,0.339
starved,2,5,0.437
starved,2,5,0.339
starved,2,5,0.345
starved,2,5,0.313
starved,2,5,0.481
starved,2,5,0.455
starved,2,5,0.599
starved,2,6,0.408
starved,2,6,0.337
starved,2,6,0.468
starved,2,6,0.337
starved,2,6,0.529
starved,2,6,0.508
starved,2,6,0.372
starved,2,6,0.302
starved,2,6,0.425
starved,2,6,0.813
starved,3,7,0.528
starved,3,7,0.633
starved,3,7,0.460
starved,3,7,0.528
starved,3,7,0.447
starved,3,7,0.557
starved,3,7,0.489
starved,3,7,0.581
starved,3,7,0.538
starved,3,7,0.749
starved,3,8,0.584
starved,3,8,0.707
starved,3,8,0.791
starved,3,8,0.762
starved,3,8,0.482
starved,3,8,0.575
starved,3,8,0.506
starved,3,8,0.396
starved,3,8,0.647
starved,3,8,0.638
starved,3,9,0.732
starved,3,9,0.552
starved,3,9,0.782
starved,3,9,0.465
starved,3,9,0.659
starved,3,9,0.648
starved,3,9,0.519
starved,3,9,0.445
starved,3,9,0.468
starved,3,9,0.604
aa,4,10,0.659
aa,4,10,0.652
aa,4,10,0.895
aa,4,10,0.791
aa,4,10,0.788
aa,4,10,0.789
aa,4,10,0.704
aa,4,10,0.965
aa,4,10,0.498
aa,4,10,0.712
aa,4,11,0.933
aa,4,11,0.831
aa,4,11,0.684
aa,4,11,0.679
aa,4,11,0.648
aa,4,11,0.719
aa,4,11,0.876
aa,4,11,0.845
aa,4,11,0.724
aa,4,11,0.540
aa,4,12,0.621
aa,4,12,0.582
aa,4,12,0.754
aa,4,12,0.714
aa,4,12,0.655
aa,4,12,0.833
aa,4,12,0.847
aa,4,12,0.642
aa,4,12,0.759
aa,4,12,0.734
aa,5,13,0.881
aa,5,13,0.550
aa,5,13,0.742
aa,5,13,0.642
aa,5,13,0.897
aa,5,13,0.702
aa,5,13,0.511
aa,5,13,0.779
aa,5,13,0.906
aa,5,13,0.846
aa,5,14,0.592
aa,5,14,0.739
aa,5,14,0.690
aa,5,14,0.815
aa,5,14,0.966
aa,5,14,0.669
aa,5,14,0.745
aa,5,14,0.711
aa,5,14,0.709
aa,5,14,0.605
aa,5,15,0.740
aa,5,15,0.981
aa,5,15,0.607
aa,5,15,0.492
aa,5,15,0.815
aa,5,15,0.669
aa,5,15,0.863
aa,5,15,0.597
aa,5,15,0.771
aa,5,15,0.837
aa,6,16,0.817
aa,6,16,0.944
aa,6,16,0.703
aa,6,16,0.986
aa,6,16,0.525
aa,6,16,0.588
aa,6,16,0.779
aa,6,16,0.802
aa,6,16,0.885
aa,6,16,0.833
aa,6,17,0.776
aa,6,17,0.692
aa,6,17,0.481
aa,6,17,0.749
aa,6,17,0.786
aa,6,17,0.907
aa,6,17,0.755
aa,6,17,0.600
aa,6,17,0.740
aa,6,17,0.934
aa,6,18,0.761
aa,6,18,0.826
aa,6,18,0.770
aa,6,18,0.767
aa,6,18,0.619
aa,6,18,0.757
aa,6,18,0.772
aa,6,18,0.788
aa,6,18,0.839
aa,6,18,0.799
pr,7,19,0.809
pr,7,19,0.566
pr,7,19,0.402
pr,7,19,0.486
pr,7,19,0.503
pr,7,19,0.596
pr,7,19,0.876
pr,7,19,0.441
pr,7,19,0.761
pr,7,19,0.720
pr,7,20,0.954
pr,7,20,0.686
pr,7,20,1.049
pr,7,20,0.848
pr,7,20,0.724
pr,7,20,0.909
pr,7,20,0.815
pr,7,20,0.679
pr,7,20,0.794
pr,7,20,1.019
pr,7,21,0.806
pr,7,21,0.587
pr,7,21,0.731
pr,7,21,0.725
pr,7,21,0.848
pr,7,21,0.712
pr,7,21,0.578
pr,7,21,0.773
pr,7,21,0.995
pr,7,21,0.743
pr,8,22,0.826
pr,8,22,0.815
pr,8,22,0.811
pr,8,22,0.511
pr,8,22,0.592
pr,8,22,0.811
pr,8,22,0.720
pr,8,22,0.802
pr,8,22,0.837
