id,day,month,year,lat,long,depth,habitat,parasite,syear,smonth,sday,slong,slat,sdepth,stemp,ssal
7258,30,11,2016,39.1266,2.9403,8,Phanerogams,1,2016,11,15,3,39,5.021589756,20.61909485,37.52667236
7259,1,12,2016,39.1504,2.9438,10,Phanerogams,1,2016,12,15,3,39,5.021589756,17.96152115,37.39894867
7283,31,3,2017,39.1538,2.9441,20,Phanerogams,1,2017,3,15,3,39,15.07853985,15.23615265,37.51137924
7414,5,4,2017,39.15,2.9441,9,Rocky,1,2017,4,15,3,39,5.021589756,16.78289032,37.35169983
7643,28,5,2017,39.822,4.223,12,Mixed,1,2017,5,15,4,40,15.07853985,17.64398956,37.78589249
7644,26,5,2017,39.896,3.0807,"1,5",Phanerogams,1,2017,5,15,3,40,5.021589756,18.53259659,37.67034149
7648,3,6,2017,40.0699,4.0296,10,Rocky,1,2017,6,15,4,40,5.021589756,23.3099308,37.68487549
7649,3,6,2017,40.0699,4.0296,10,Rocky,1,2017,6,15,4,40,5.021589756,23.3099308,37.68487549
7655,4,6,2017,39.8224,4.2234,16,Mixed,1,2017,6,15,4,40,15.07853985,21.4846096,37.75634766
7675,3,6,2017,41.1423,1.4163,6,Phanerogams,1,2017,6,15,1,41,5.021589756,23.3516922,37.68358994
7690,29,10,2016,41.1421,1.4163,6,Phanerogams,1,2016,10,15,1,41,5.021589756,22.59011269,37.74607086
7694,4,6,2017,37.6395,-0.6743,11,Rocky,1,2017,6,15,-1,38,15.07853985,21.71434593,36.96663666
7705,4,6,2017,39.8222,4.2236,16,Sandy,1,2017,6,15,4,40,15.07853985,21.4846096,37.75634766
7706,4,6,2017,39.8222,4.2236,16,Sandy,1,2017,6,15,4,40,15.07853985,21.4846096,37.75634766
7707,4,6,2017,39.8222,4.2236,15,Phanerogams,1,2017,6,15,4,40,15.07853985,21.4846096,37.75634766
7718,10,6,2017,39.896,3.0807,3,Phanerogams,1,2017,6,15,3,40,5.021589756,23.47272682,37.60421753
7719,10,6,2017,39.896,3.0807,2,Phanerogams,1,2017,6,15,3,40,5.021589756,23.47272682,37.60421753
7744,14,6,2017,39.99,3.81,5,Phanerogams,1,2017,6,15,4,40,5.021589756,23.3099308,37.68487549
7771,20,6,2017,39.536,2.3766,17,Phanerogams,1,2017,6,15,2,40,15.07853985,21.77495766,37.60835266
7772,20,6,2017,39.536,2.3766,17,Mixed,1,2017,6,15,2,40,15.07853985,21.77495766,37.60835266
7784,20,4,2017,39.8942,3.0888,5,Mixed,1,2017,4,15,3,40,5.021589756,16.27539635,37.73068237
7806,27,6,2017,39.53,2.4386,6,Phanerogams,1,2017,6,15,2,40,5.021589756,23.69852638,37.53627014
7807,27,6,2017,39.53,2.4386,15,Phanerogams,1,2017,6,15,2,40,15.07853985,21.77495766,37.60835266
7856,11,6,2017,41.143,1.4178,7,Phanerogams,1,2017,6,15,1,41,5.021589756,23.3516922,37.68358994
7911,4,7,2017,39.531,2.5794,8,Rocky,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
7912,4,7,2017,39.531,2.5794,6,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
7940,25,6,2017,37.5604,-0.9765,14,Mixed,1,2017,6,15,-1,38,15.07853985,21.71434593,36.96663666
7960,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
7961,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
7962,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
7963,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
7964,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
7965,9,7,2017,39.9585,4.2706,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
8019,7,7,2017,39.536,2.3766,17,Sandy,1,2017,7,15,2,40,15.07853985,24.78333664,37.58748245
8039,19,7,2017,39.537,2.3732,3,Phanerogams,1,2017,7,15,2,40,5.021589756,26.06077766,37.49375534
8043,19,7,2017,39.537,2.3732,2,Rocky,1,2017,7,15,2,40,5.021589756,26.06077766,37.49375534
8044,19,7,2017,39.537,2.3732,5,Mixed,1,2017,7,15,2,40,5.021589756,26.06077766,37.49375534
8045,19,7,2017,39.537,2.3732,2,Rocky,1,2017,7,15,2,40,5.021589756,26.06077766,37.49375534
8071,22,7,2017,40.0737,4.087,3,Phanerogams,1,2017,7,15,4,40,5.021589756,25.58657455,37.64914322
8076,22,7,2017,37.5419,-1.1646,6,Rocky,1,2017,7,15,-1,38,5.021589756,24.77159309,36.99395752
8077,22,7,2017,37.5419,-1.1646,6,Mixed,1,2017,7,15,-1,38,5.021589756,24.77159309,36.99395752
8109,27,7,2017,39.488,2.7357,4,Sandy,1,2017,7,15,3,39,5.021589756,25.88962555,37.21883774
8131,9,7,2017,40.8998,0.8243,4,Phanerogams,1,2017,7,15,1,41,5.021589756,25.50795174,37.70777893
8132,9,7,2017,40.8998,0.8243,5,Phanerogams,1,2017,7,15,1,41,5.021589756,25.50795174,37.70777893
8146,14,7,2017,41.1423,1.4163,6,Phanerogams,1,2017,7,15,1,41,5.021589756,25.50795174,37.70777893
8172,26,7,2017,36.726,-3.7366,5,Mixed,1,2017,7,15,-4,37,5.021589756,22.28479004,36.73049545
8179,29,7,2017,39.747,3.2964,6,Phanerogams,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8180,29,7,2017,39.747,3.2964,6,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8181,29,7,2017,39.747,3.2964,6,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8182,29,7,2017,39.747,3.2964,7,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8183,29,7,2017,39.747,3.2964,6,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8184,29,7,2017,39.747,3.2964,6,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8185,29,7,2017,39.747,3.2964,5,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8186,29,7,2017,39.747,3.2964,5,Mixed,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8187,29,7,2017,39.747,3.2964,5,,1,2017,7,15,3,40,5.021589756,25.79636002,37.56369019
8224,31,7,2017,39.536,2.3766,21,Sandy,1,2017,7,15,2,40,25.16045952,21.00522995,37.72076035
8291,5,8,2017,39.8095,4.2536,17,Phanerogams,1,2017,8,15,4,40,15.07853985,26.02812576,37.76434708
8298,12,8,2017,38.9561,1.1884,24,Rocky,1,2017,8,15,1,39,25.16045952,21.84630203,37.29386139
8336,17,8,2017,39.572,2.3103,26,Rocky,1,2017,8,15,2,40,25.16045952,23.04863548,37.73337936
8348,18,8,2017,39.536,2.3766,21,Sandy,1,2017,8,15,2,40,25.16045952,23.04863548,37.73337936
8379,21,8,2017,39.539,2.5927,20,Sandy,1,2017,8,15,3,40,15.07853985,26.0809269,37.68352127
8383,21,8,2017,39.916,4.2882,6,Mixed,1,2017,8,15,4,40,5.021589756,26.36619949,37.67045593
8413,26,8,2017,39.572,2.3103,28,Rocky,1,2017,8,15,2,40,25.16045952,23.04863548,37.73337936
8426,19,8,2017,41.8605,3.1598,15,Phanerogams,1,2017,8,15,3,42,15.07853985,23.08839417,38.11525726
8452,27,8,2017,39.536,2.3766,21,Sandy,1,2017,8,15,2,40,25.16045952,23.04863548,37.73337936
8476,3,9,2017,39.536,2.3766,15,Phanerogams,1,2017,9,15,2,40,15.07853985,24.83589745,37.74029541
8676,29,7,2017,40.8953,0.8188,4,Phanerogams,1,2017,7,15,1,41,5.021589756,25.50795174,37.70777893
8739,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8740,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8741,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8742,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8743,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8744,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8745,13,9,2017,40.9003,0.8246,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8759,22,9,2017,41.063,1.0854,3,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8820,28,8,2017,38.956,1.2163,14,Rocky,1,2017,8,15,1,39,15.07853985,26.21729088,37.27498627
8822,20,7,2017,37.9156,-0.7195,5,Phanerogams,1,2017,7,15,-1,38,5.021589756,24.77159309,36.99395752
8891,6,10,2017,41.1739,1.5107,5,Phanerogams,1,2017,10,15,2,41,5.021589756,21.15221405,37.49065399
8892,14,10,2017,41.1744,1.5079,5,Mixed,1,2017,10,15,2,41,5.021589756,21.15221405,37.49065399
8906,30,9,2017,40.8991,0.824,4,Phanerogams,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8907,30,9,2017,40.8991,0.824,4,Sandy,1,2017,9,15,1,41,5.021589756,24.4597683,37.84489822
8923,13,10,2017,39.4819,2.728,"6,4",Phanerogams,1,2017,10,15,3,39,5.021589756,22.97009468,37.24716949
8924,13,10,2017,39.4819,2.728,"6,4",Phanerogams,1,2017,10,15,3,39,5.021589756,22.97009468,37.24716949
8926,18,10,2017,39.462,2.4715,28,Rocky,1,2017,10,15,2,39,25.16045952,22.16309547,37.05188751
8944,22,10,2017,41.5235,2.4833,12,Phanerogams,1,2017,10,15,2,42,15.07853985,19.55766678,37.63529587
8945,22,10,2017,41.5332,2.4615,11,Phanerogams,1,2017,10,15,2,42,15.07853985,19.55766678,37.63529587
