treat,plant,week,noleaves
100WHC,1,1,18
100WHC,2,1,21
100WHC,3,1,19
100WHC,4,1,21
100WHC,5,1,22
100WHC,6,1,25
100WHC,7,1,22
75WHC,1,1,20
75WHC,2,1,22
75WHC,3,1,25
75WHC,4,1,25
75WHC,5,1,20
75WHC,6,1,27
75WHC,7,1,19
50WHC,1,1,24
50WHC,2,1,21
50WHC,3,1,20
50WHC,4,1,23
50WHC,5,1,21
50WHC,6,1,20
50WHC,7,1,16
25WHC,1,1,20
25WHC,2,1,18
25WHC,3,1,28
25WHC,4,1,23
25WHC,5,1,27
25WHC,6,1,21
25WHC,7,1,24
100WHC,1,2,22
100WHC,2,2,24
100WHC,3,2,20
100WHC,4,2,26
100WHC,5,2,24
100WHC,6,2,29
100WHC,7,2,19
75WHC,1,2,21
75WHC,2,2,25
75WHC,3,2,24
75WHC,4,2,27
75WHC,5,2,24
75WHC,6,2,29
75WHC,7,2,24
50WHC,1,2,22
50WHC,2,2,23
50WHC,3,2,23
50WHC,4,2,22
50WHC,5,2,22
50WHC,6,2,20
50WHC,7,2,20
25WHC,1,2,20
25WHC,2,2,21
25WHC,3,2,27
25WHC,4,2,20
25WHC,5,2,27
25WHC,6,2,22
25WHC,7,2,23
100WHC,1,3,25
100WHC,2,3,27
100WHC,3,3,21
100WHC,4,3,29
100WHC,5,3,24
100WHC,6,3,32
100WHC,7,3,23
75WHC,1,3,25
75WHC,2,3,30
75WHC,3,3,24
75WHC,4,3,31
75WHC,5,3,23
75WHC,6,3,33
75WHC,7,3,30
50WHC,1,3,28
50WHC,2,3,25
50WHC,3,3,24
50WHC,4,3,25
50WHC,5,3,26
50WHC,6,3,23
50WHC,7,3,22
25WHC,1,3,22
25WHC,2,3,24
25WHC,3,3,28
25WHC,4,3,23
25WHC,5,3,27
25WHC,6,3,25
25WHC,7,3,22
100WHC,1,4,31
100WHC,2,4,31
100WHC,3,4,25
100WHC,4,4,34
100WHC,5,4,37
100WHC,6,4,36
100WHC,7,4,31
75WHC,1,4,25
75WHC,2,4,33
75WHC,3,4,27
75WHC,4,4,33
75WHC,5,4,30
75WHC,6,4,36
75WHC,7,4,35
50WHC,1,4,28
50WHC,2,4,27
50WHC,3,4,23
50WHC,4,4,29
50WHC,5,4,25
50WHC,6,4,26
50WHC,7,4,28
25WHC,1,4,22
25WHC,2,4,24
25WHC,3,4,28
25WHC,4,4,23
25WHC,5,4,29
25WHC,6,4,23
25WHC,7,4,25
100WHC,1,5,32
100WHC,2,5,32
100WHC,3,5,28
100WHC,4,5,38
100WHC,5,5,33
100WHC,6,5,41
100WHC,7,5,33
75WHC,1,5,31
75WHC,2,5,35
75WHC,3,5,31
75WHC,4,5,35
75WHC,5,5,35
75WHC,6,5,40
75WHC,7,5,37
50WHC,1,5,29
50WHC,2,5,30
50WHC,3,5,27
50WHC,4,5,32
50WHC,5,5,27
50WHC,6,5,29
50WHC,7,5,32
25WHC,1,5,27
25WHC,2,5,26
25WHC,3,5,28
25WHC,4,5,26
25WHC,5,5,26
25WHC,6,5,26
25WHC,7,5,27
100WHC,1,6,30
100WHC,2,6,35
100WHC,3,6,29
100WHC,4,6,40
100WHC,5,6,37
100WHC,6,6,40
100WHC,7,6,28
75WHC,1,6,45
75WHC,2,6,36
75WHC,3,6,33
75WHC,4,6,33
75WHC,5,6,36
75WHC,6,6,39
75WHC,7,6,31
50WHC,1,6,36
50WHC,2,6,28
50WHC,3,6,27
50WHC,4,6,34
50WHC,5,6,29
50WHC,6,6,29
50WHC,7,6,32
25WHC,1,6,30
25WHC,2,6,29
25WHC,3,6,33
25WHC,4,6,28
25WHC,5,6,28
25WHC,6,6,27
25WHC,7,6,30
100WHC,1,7,32
100WHC,2,7,36
100WHC,3,7,33
100WHC,4,7,46
100WHC,5,7,38
100WHC,6,7,42
100WHC,7,7,35
75WHC,1,7,46
75WHC,2,7,42
75WHC,3,7,32
75WHC,4,7,41
75WHC,5,7,40
75WHC,6,7,41
75WHC,7,7,36
50WHC,1,7,36
50WHC,2,7,29
50WHC,3,7,28
50WHC,4,7,36
50WHC,5,7,32
50WHC,6,7,34
50WHC,7,7,33
25WHC,1,7,35
25WHC,2,7,34
25WHC,3,7,34
25WHC,4,7,31
25WHC,5,7,30
25WHC,6,7,31
25WHC,7,7,33
100WHC,1,8,41
100WHC,2,8,47
100WHC,3,8,36
100WHC,4,8,50
100WHC,5,8,41
100WHC,6,8,48
100WHC,7,8,36
75WHC,1,8,53
75WHC,2,8,48
75WHC,3,8,26
75WHC,4,8,51
75WHC,5,8,49
75WHC,6,8,49
75WHC,7,8,40
50WHC,1,8,41
50WHC,2,8,33
50WHC,3,8,26
50WHC,4,8,33
50WHC,5,8,34
50WHC,6,8,34
50WHC,7,8,37
25WHC,1,8,38
25WHC,2,8,39
25WHC,3,8,33
25WHC,4,8,32
25WHC,5,8,33
25WHC,6,8,34
25WHC,7,8,39
100WHC,1,9,46
100WHC,2,9,49
100WHC,3,9,52
100WHC,4,9,56
100WHC,5,9,40
100WHC,6,9,60
100WHC,7,9,62
75WHC,1,9,47
75WHC,2,9,49
75WHC,3,9,46
75WHC,4,9,59
75WHC,5,9,49
75WHC,6,9,50
75WHC,7,9,44
50WHC,1,9,48
50WHC,2,9,52
50WHC,3,9,31
50WHC,4,9,40
50WHC,5,9,42
50WHC,6,9,36
50WHC,7,9,43
25WHC,1,9,46
25WHC,2,9,45
25WHC,3,9,51
25WHC,4,9,34
25WHC,5,9,55
25WHC,6,9,40
25WHC,7,9,47
