underpass,width,height,length,openness,noise,egdist,forcov,draindist,raildist,towndist,hui,bike,horse,foot,bbear,gbear,cougar,wolf,deer,elk,moose
a,9.8,2.8,63,0.43,68.1,0,22.3,1,0.5,1.6,0.4,0,6,7,10,0,5,1,554,825,1
b,13.4,2.5,83.2,0.4,70.5,2.1,63.3,0,0.75,3.5,1.9,5,3,45,20,0,29,7,42,201,0
c,4.2,3.5,96.1,0.15,64.1,3.5,11.9,0.1,0.8,5.5,1.8,6,6,14,43,0,3,3,294,331,1
d,9.8,2.9,40,0.71,66.8,5.8,15.2,0.4,0.02,6,0.6,21,5,20,37,2,30,28,253,1199,0
e,9.5,2.9,39.7,0.69,66,10.5,47.3,0.6,0.02,1.5,5.3,189,42,34,13,0,7,3,215,1062,0
f,14.9,3.2,38,1.25,63.8,11.5,16.1,0,0.02,0.5,5.3,8,138,77,8,0,0,5,21,467,0
g,10,3,27.1,1.1,64.3,12,35.9,0.6,0.25,0.2,15.2,462,186,129,0,0,4,1,61,1576,0
h,9.8,2.7,27.2,0.97,67.4,14.4,23.3,1.2,1.2,1.7,3.2,19,12,80,4,0,4,5,338,1522,0
i,10.3,2.8,25.6,1.12,67.4,17,27.5,0.4,0.4,5.2,11.4,595,58,241,8,0,20,77,288,821,0
j,9,2.9,40.1,0.65,67.1,18.8,23.9,0.2,0.75,7.2,0.6,1,10,10,34,5,15,146,291,683,0
k,7,4,56,0.5,64.1,38.8,35.4,0.3,0.75,0.8,0.5,0,10,29,16,0,0,35,54,272,0
