treatment,bodyvol,sutwidth
initial,3.5,0.01
initial,5,0.02
initial,8,0.061
initial,10,0.051
initial,13,0.041
initial,13,0.061
initial,15,0.041
initial,15,0.071
initial,16,0.092
initial,17,0.051
initial,19,0.051
initial,20,0.082
initial,21,0.102
initial,21,0.092
initial,24,0.051
initial,24,0.061
initial,24,0.082
initial,28,0.071
initial,29,0.071
initial,35,0.082
initial,36,0.061
initial,39,0.082
initial,39,0.112
initial,44,0.102
low,5,0.041
low,8,0.031
low,8.5,0.041
low,11.5,0.082
low,10,0.071
low,14,0.051
low,15,0.061
low,15.5,0.082
low,18,0.061
low,18,0.061
low,18,0.071
low,22,0.041
low,21.5,0.061
low,20.5,0.061
low,25,0.082
low,26,0.061
low,38,0.071
low,41,0.082
low,41,0.061
low,43,0.061
low,45,0.071
low,47.5,0.041
low,46.5,0.061
low,11.5,0.031
high,7.5,0.051
high,9.5,0.051
high,9,0.082
high,9,0.092
high,12,0.092
high,13,0.061
high,14.5,0.051
high,15,0.102
high,13,0.112
high,11.5,0.071
high,14,0.071
high,14,0.051
high,15.5,0.082
high,15,0.092
high,17.5,0.102
high,19,0.122
high,19,0.102
high,19.5,0.163
high,20,0.051
high,23.5,0.112
high,30,0.153
high,26,0.082
high,29,0.122
high,39,0.102
