Plant ID,Shelter,Plot,Pot,Species,Amount,Frequency,1st leaf measurement,1st plant height measurement,2nd leaf measurement,2nd plant height measurement,Above-ground biomass,Below-ground biomass,Above- to below-ground ratio,Sp_name,Type
43,1,1,10,Big bluestem,70,3,21,18.5,15,51,3.2582,5.1174,15.65281444,Andropogon,monocot
56,1,2,26,Big bluestem,70,15,14,14,18,44,3.5384,5.1336,12.43499887,Andropogon,monocot
42,1,3,43,Big bluestem,70,30,28,21,40,122.5,9.9042,10.9245,12.36849014,Andropogon,monocot
18,1,4,61,Big bluestem,90,3,9,18,23,59,4.5037,7.0745,13.10033972,Andropogon,monocot
81,1,5,87,Big bluestem,90,15,28,18.5,32,103,7.5734,12.6201,13.60023239,Andropogon,monocot
80,1,6,102,Big bluestem,90,30,17,18,24,101.5,6.6888,18.5087,15.17462026,Andropogon,monocot
167,2,7,117,Big bluestem,70,3,22,20,21,74,5.4688,13.1856,13.53130486,Andropogon,monocot
155,2,8,133,Big bluestem,70,15,43,20,33,61,9.5101,23.7545,6.414233289,Andropogon,monocot
181,2,9,157,Big bluestem,70,30,20,19,34,58,4.9502,1.07738,11.71669832,Andropogon,monocot
106,2,10,160,Big bluestem,90,3,22,17,49,81,10.0241,26.3797,8.080525933,Andropogon,monocot
198,2,11,195,Big bluestem,90,15,18,13,27,132.5,10.8416,20.2468,12.22144333,Andropogon,monocot
148,2,12,205,Big bluestem,90,30,16,27,21,94,6.4887,18.7704,14.48672307,Andropogon,monocot
270,3,13,228,Big bluestem,70,3,30,21.5,42,59.5,10.1528,23.8031,5.860452289,Andropogon,monocot
236,3,14,238,Big bluestem,70,15,16,18,33,123,10.7006,22.4623,11.49468254,Andropogon,monocot
261,3,15,259,Big bluestem,70,30,8,17,30,106.5,14.5825,12.7278,7.303274473,Andropogon,monocot
234,3,16,272,Big bluestem,90,3,30,17,47,91,10.1911,23.0852,8.929359932,Andropogon,monocot
293,3,17,300,Big bluestem,90,15,12,23,34,124,12.1996,11.9987,10.16426768,Andropogon,monocot
239,3,18,311,Big bluestem,90,30,22,17,38,59,6.4559,20.45,9.138927183,Andropogon,monocot
364,4,19,332,Big bluestem,70,3,15,14,20,52.5,3.1235,9.2507,16.80806787,Andropogon,monocot
359,4,20,350,Big bluestem,70,15,26,21.5,40,103.5,9.7395,13.6515,10.62682889,Andropogon,monocot
360,4,21,369,Big bluestem,70,30,4,28,32,52.5,4.303,12.7048,12.20079015,Andropogon,monocot
388,4,22,392,Big bluestem,90,3,15,24,24,105,11.4791,18.1012,9.147058567,Andropogon,monocot
327,4,23,397,Big bluestem,90,15,15,19,34,133,7.2864,15.7801,18.25318401,Andropogon,monocot
380,4,24,426,Big bluestem,90,30,31,20,44,161,17.0597,18.9915,9.437446145,Andropogon,monocot
438,5,25,438,Big bluestem,70,3,14,17,26,106,6.8991,10.9658,15.36432288,Andropogon,monocot
473,5,26,460,Big bluestem,70,15,25,23.5,68,102,12.1235,26.3372,8.413411968,Andropogon,monocot
461,5,27,476,Big bluestem,70,30,31,14,25,90,4.4752,12.0849,20.11083304,Andropogon,monocot
401,5,28,484,Big bluestem,90,3,9,18.5,15,42,1.1499,3.0227,36.52491521,Andropogon,monocot
427,5,29,505,Big bluestem,90,15,16,20,43,85,7.7149,12.1757,11.01764119,Andropogon,monocot
443,5,30,522,Big bluestem,90,30,20,21,75,98.5,10.8913,23.1473,9.043915786,Andropogon,monocot
534,6,31,541,Big bluestem,70,3,14,22,40,60,7.1801,11.8219,8.356429576,Andropogon,monocot
577,6,32,569,Big bluestem,70,15,13,19,17,59,2.9746,6.5881,19.83459961,Andropogon,monocot
512,6,33,572,Big bluestem,70,30,16,18,14,69.5,3.1902,4.47,21.785468,Andropogon,monocot
592,6,34,603,Big bluestem,90,3,23,22,47,55,4.1773,8.0939,13.16639935,Andropogon,monocot
524,6,35,606,Big bluestem,90,15,16,19,24,81.5,8.0578,9.1691,10.11442329,Andropogon,monocot
544,6,36,630,Big bluestem,90,30,11,10,16,145.5,5.1832,8.7093,28.07146165,Andropogon,monocot
641,7,37,645,Big bluestem,70,3,20,24,19,132,5.8976,10.0264,22.38198589,Andropogon,monocot
659,7,38,664,Big bluestem,70,15,21,20,81,114.5,6.5264,10.0679,17.54412846,Andropogon,monocot
695,7,39,692,Big bluestem,70,30,24,13,56,100,8.2849,20.6563,12.07015172,Andropogon,monocot
696,7,40,710,Big bluestem,90,3,20,22,95,41,4.1157,15.5069,9.961853391,Andropogon,monocot
644,7,41,721,Big bluestem,90,15,26,23,34,85,4.3635,14.8991,19.47977541,Andropogon,monocot
679,7,42,746,Big bluestem,90,30,6,22,23,79.5,4.0395,8.4488,19.68065355,Andropogon,monocot
768,8,43,759,Big bluestem,70,3,15,18,33,143.5,10.5832,18.2233,13.55922594,Andropogon,monocot
788,8,44,778,Big bluestem,70,15,8,27,16,94.5,8.4907,3.3906,11.1298244,Andropogon,monocot
