cricketid,distance,pronotum,legmass,eggs
f01,16.56,2.133,1.10,19
f03,13.03,2.452,1.35,115
f05,16.99,2.182,0.95,15
f06,10.36,2.175,1.10,75
f07,17.96,2.227,1.20,72
f08,15.29,2.421,1.25,51
f09,18.24,2.353,1.25,25
f10,11.71,2.443,1.15,86
f11,16.71,2.353,1.15,56
f12,11.33,2.316,1.05,90
f13,7.59,2.085,0.80,60
f14,23.04,2.423,0.90,39
f15,17.58,2.350,0.75,45
f16,13.46,2.318,1.10,94
f19,27.03,2.128,0.75,18
f20,13.84,2.189,0.75,63
f21,24.46,2.306,0.75,13
f22,12.83,2.196,0.70,30
f24,25.88,2.564,1.40,18
f25,20.09,2.263,1.20,21
f27,18.49,2.314,1.35,29
f28,13.92,2.346,1.35,125
f29,26.92,2.372,1.40,27
f30,16.05,2.217,1.15,40
f31,21.29,2.537,1.50,39
f33,19.79,2.298,1.05,69
f34,15.21,2.155,1.10,15
f36,24.05,2.333,1.10,26
f37,21.74,2.275,1.30,18
