frogid,spp,crt,cdc,pn,df,tcl,tcr
1,rk,30.25,0.053,1,1340.45,44.17,1.618
2,rk,29,0.064,1,1232.78,46.22,1.721
3,rk,36.75,0.095,1,1211.23,58.28,2.037
5,rk,32,0.051,1,1421.2,47.85,1.384
6,rk,39.75,0.067,1,1275.85,51.12,1.637
7,rk,36,0.069,1,1480.4,50.14,1.437
8,rk,29,0.067,1,1297.4,48.58,1.538
9,rk,47.25,0.084,1,1335.1,58.65,1.541
10,rk,25.25,0.095,1,1593.48,53.53,1.635
11,rk,22,0.099,1,1485.8,50.49,1.841
12,rk,18,0.057,1,1507.35,40.45,1.373
13,rk,34.75,0.048,1,1345.83,64.65,0.771
14,rk,29.75,0.08,1,1453.5,56.84,1.42
15,rp,1408.75,0.128,37.5,1098.2,2399.73,0.046
16,rp,1268.67,0.1,40,1327.9,2241.84,0.043
17,rp,1001.5,0.159,29.5,1146.65,2063.71,0.062
18,rp,1519.67,0.164,48.333,1126.9,3098.88,0.046
19,rsph,409.5,0.65,6.25,1243.58,472.08,1.312
20,rsph,556.5,0.711,7.75,1265.08,635.44,1.139
21,rsph,636,0.795,9.5,1232.78,734.65,1.076
22,rsph,602.5,0.733,7.75,785.98,586.29,1.246
23,rsph,392,0.717,9.25,1324.23,747.29,0.919
24,rsph,299.75,0.615,7.5,1476.58,538.32,1.188
25,rsph,272.5,0.729,7.5,1406.25,587.05,1.331
26,rsph,212.33,0.732,7.333,984.37,555.79,1.335
27,rsyl,289.75,0.578,3,1528.85,588.05,2.607
28,rsyl,266.25,0.585,3,1652.68,690.57,3.809
29,rsyl,210.75,0.581,3,1679.6,565.59,4.598
30,rsyl,186,0.662,3.333,1485.8,611.51,4.712
31,rsyl,151.67,0.176,2.667,1406.87,416.2,2.121
32,rsyl,172,0.472,2.333,947.47,469.68,5.563
33,rsyl,57.5,0.062,1.5,1399.68,691.94,2.735
34,rsyl,58,0.071,1.5,1329.7,359.21,2.06
35,rsyl,136.75,0.332,2.25,1410.45,695.52,5.189
36,rpal,651.5,0.212,47.5,947.5,1198.68,0.171
37,rpal,1194,0.354,64,1184.35,1845.14,0.169
38,rpal,755.25,0.347,65.25,1238.15,1502.59,0.211
39,rpal,711,0.384,53.667,1378.1,1196.56,0.305
40,rpal,842,0.406,61.667,1091.03,1339.87,0.258
41,rpal,660,0.41,59.25,1308.15,1312.78,0.304
42,rpal,923.33,0.172,50.667,1937.97,1737.66,0.102
43,rpal,947.33,0.204,72.667,1306.37,1610.95,0.124
44,rpal,873,0.204,61,1198.67,1574.59,0.122
45,rpal,1267.67,0.311,78.667,1162.77,1932.5,0.12
46,rpal,595.33,0.121,58.333,1155.63,1404.11,0.082
