toad,treatment,time,numattack,cumattack
1,Leptin,3,7,7
1,Leptin,6,2,9
1,Leptin,9,7,16
1,Leptin,12,4,20
1,Leptin,15,0,20
2,Leptin,3,1,1
2,Leptin,6,2,3
2,Leptin,9,4,7
2,Leptin,12,4,11
2,Leptin,15,3,14
3,Saline,3,12,12
3,Saline,6,8,20
3,Saline,9,11,31
3,Saline,12,11,42
3,Saline,15,5,47
4,Saline,3,14,14
4,Saline,6,6,20
4,Saline,9,8,28
4,Saline,12,5,33
4,Saline,15,1,34
5,Saline,3,5,5
5,Saline,6,6,11
5,Saline,9,6,17
5,Saline,12,9,26
5,Saline,15,6,32
6,Leptin,3,11,11
6,Leptin,6,3,14
6,Leptin,9,3,17
6,Leptin,12,0,17
6,Leptin,15,4,21
7,Saline,3,8,8
7,Saline,6,3,11
7,Saline,9,7,18
7,Saline,12,4,22
7,Saline,15,11,33
8,Leptin,3,9,9
8,Leptin,6,5,14
8,Leptin,9,5,19
8,Leptin,12,2,21
8,Leptin,15,2,23
9,Leptin,3,9,9
9,Leptin,6,2,11
9,Leptin,9,1,12
9,Leptin,12,3,15
9,Leptin,15,1,16
10,Leptin,3,2,2
10,Leptin,6,3,5
10,Leptin,9,0,5
10,Leptin,12,1,6
10,Leptin,15,1,7
11,Saline,3,6,6
11,Saline,6,12,18
11,Saline,9,6,24
11,Saline,12,4,28
11,Saline,15,4,32
12,Saline,3,12,12
12,Saline,6,10,22
12,Saline,9,11,33
12,Saline,12,8,41
12,Saline,15,11,52
13,Leptin,3,12,12
13,Leptin,6,7,19
13,Leptin,9,3,22
13,Leptin,12,2,24
13,Leptin,15,0,24
14,Leptin,3,5,5
14,Leptin,6,4,9
14,Leptin,9,1,10
14,Leptin,12,0,10
14,Leptin,15,1,11
15,Saline,3,6,6
15,Saline,6,3,9
15,Saline,9,3,12
15,Saline,12,3,15
15,Saline,15,1,16
16,Saline,3,13,13
16,Saline,6,3,16
16,Saline,9,10,26
16,Saline,12,3,29
16,Saline,15,3,32
17,Leptin,3,6,6
17,Leptin,6,7,13
17,Leptin,9,2,15
17,Leptin,12,4,19
17,Leptin,15,2,21
18,Saline,3,4,4
18,Saline,6,2,6
18,Saline,9,7,13
18,Saline,12,5,18
18,Saline,15,2,20
