treat,totfa,12:0,14:0,15:0,16:0,17:0,18:0,20:0,22:0,14:1n-5,16:1n-7,18:1n-9,18:1n-7,20:1n-11,20:1n-9,22:1n-11,22:1n-9,24:1n-9,18:2n-6,18:3n-6,20:2n-6,20:3n-6,20:4n-6,22:2n-6,22:4n-6,22:5n-6,18:3n-3,18:4n-3,20:3n-3,20:4n-3,20:5n-3,22:5n-3,22:6n-3,SFA,MUFA,PUFA,LC-PUFA,n-6 PUFA,n-6 LC-PUFA,n-3 PUFA,n-3 LC-PUFA,others
0,724.1294871,0.113119949,0.700196716,0.096145204,10.7926146,0.362407158,4.916536667,0.045584005,0.103117411,0.051656601,1.493063101,20.06730951,1.312220074,0.071313246,0.895662481,0.129513987,0.134752822,0.249482491,12.72963712,0.310267968,0.683772395,0.58786652,0.247817862,0,0.051820411,0.022729895,30.61810157,3.129598785,1.552339181,1.645773042,1.275918301,0.501936362,4.690148346,17.12972171,24.40497431,58.04772776,11.26012231,14.63391217,1.594007083,43.41381559,9.666115231,0.417576215
0,772.2095487,0.064377803,0.763938668,0.095500041,11.15320139,0.266160892,4.856443719,0.095770346,0.102973869,0.043138666,1.772806542,21.84740964,1.305864365,0.139177875,0.759678129,0.118059001,0.106901456,0.193916613,12.37986349,0.376201013,0.637215482,0.545644006,0.202080691,0,0.089402181,0.093104576,29.71223852,3.306681437,1.540919237,1.870660171,1.121929668,0.582174364,3.48113878,17.39836672,26.28695229,55.93925361,10.16426916,14.32351144,1.567446936,41.61574217,8.59682222,0.375427373
0,757.6311625,0.083394138,0.73600139,0.096925883,10.73427245,0.29774368,4.988163637,0.091920974,0.104081587,0.055166622,1.50317683,20.32545143,1.275429898,0.125014793,0.722247792,0.164434057,0.108962265,0.223696108,12.89715907,0.400786803,0.59224013,0.549219457,0.219860857,0,0.110133174,0.100454693,30.46555035,3.727351821,1.427279242,1.8236953,1.314304162,0.535459496,3.800802531,17.13250374,24.5035798,57.96429709,10.47344904,14.86985418,1.571908311,43.09444291,8.901540732,0.399619375
100,728.7910724,0.121588195,0.710697802,0.120323128,10.83690678,0.312810659,4.925920569,0.046635015,0.053692409,0.08511323,1.546050563,20.9522673,1.29449721,0.103262922,1.004285913,0.160291545,0.1531125,0.283149212,12.3608698,0.374452623,0.642851567,0.502077395,0.294408137,0,0.046938995,0.041280091,28.62021583,3.647621386,1.59627579,2.208647306,1.508820908,0.667685274,4.561024058,17.12857456,25.5820304,57.07316916,12.07000952,14.26287861,1.527556185,42.81029055,10.54245334,0.216225885
100,717.7978326,0.100140535,0.706209723,0.090972338,10.93957553,0.336722573,4.969022263,0.092894047,0.106505961,0.070446283,1.580801521,21.02939619,1.279671583,0.111827436,0.867120749,0.106824862,0.128764371,0.232406501,12.34897199,0.417778218,0.653169951,0.527555841,0.29096169,0,0.093711089,0.040949483,28.67898564,3.763488692,1.520847301,2.239660897,1.586610655,0.68674543,4.005064938,17.34204298,25.4072595,56.85450182,11.64527727,14.37309826,1.606348053,42.48140356,10.03892922,0.396195714
100,735.4764193,0.10088928,0.74843552,0.098937601,11.19782039,0.352602812,4.937386819,0.046733436,0.104324223,0.045210154,1.508021309,19.60526889,1.282374572,0.240920237,0.745241957,0.207730152,0.124946411,0.25226986,12.31937716,0.431270059,0.577311723,0.528408765,0.343267025,0,0.109256707,0.154786993,28.18541118,4.091998168,1.355679249,2.107650543,1.847466038,0.710507758,5.172881478,17.58713008,24.01198354,57.93527285,12.90721628,14.46367843,1.713031213,43.47159442,11.19418507,0.465613531
300,750.0411835,0.078974054,0.777281936,0.102259477,10.93940956,0.329299631,4.87033026,0.096295833,0.10332892,0.045350996,1.564291025,19.90843847,1.295769921,0.205756681,0.752505975,0.200107342,0.116319444,0.187829496,12.55350031,0.374939123,0.629071253,0.50222863,0.29305948,0,0.036510451,0.159234339,28.90613794,3.98219795,1.522796397,2.224483748,1.652495291,0.663132899,4.512795868,17.29717967,24.27636935,58.01258368,12.19580836,14.54854359,1.620104154,43.46404009,10.5757042,0.413867298
300,753.6881415,0.086196307,0.833654099,0.096336095,11.41614347,0.300623526,4.871002656,0.093936781,0.105284157,0.038216284,1.739520027,21.10359503,1.318565897,0.123778962,0.807255519,0.175830683,0.123127791,0.232511906,12.07887036,0.399808379,0.638284436,0.551974219,0.290444405,0,0.089807121,0.078401155,27.74600276,3.857569426,1.4997138,2.167864661,1.559299067,0.659038838,4.509971977,17.80317709,25.6624021,56.1270506,12.04479968,14.12759007,1.648911336,41.99946052,10.39588834,0.407370215
300,755.6998683,0.080070463,0.721106744,0.089749581,11.09591732,0.317408183,4.946461869,0.090301728,0.108353827,0.077657208,1.543291993,20.29651119,1.284278373,0.098601765,0.864680962,0.144440136,0.116403517,0.230628892,12.25593336,0.382781577,0.660992038,0.513915421,0.308640148,0,0.116957436,0.096997652,28.4771588,3.540578926,1.737341215,2.226063337,1.665400024,0.684021634,4.80170341,17.44936971,24.65649403,57.46848498,12.81203232,14.33621763,1.697502695,43.13226734,11.11452962,0.425651278
600,741.0916385,0.095986103,0.769689771,0.093994707,11.3486739,0.368933501,5.049469676,0.093524724,0.107587884,0.072168213,1.631959019,20.48125619,1.30225974,0.235640523,0.771461181,0.178438446,0.130266953,0.232168568,12.07086427,0.402920742,0.612366309,0.526376465,0.330748243,0,0.055813756,0.087134258,27.97167174,3.753779056,1.374844833,2.037111448,1.887504299,0.745195602,4.716694284,17.92786027,25.03561884,56.5730253,12.3737895,14.08622404,1.61243903,42.48680126,10.76135047,0.463495593
600,740.3959813,0.080669988,0.72209314,0.091595476,11.16520811,0.260712978,5.05284167,0.095547118,0.109662304,0.039399997,1.563918369,20.81233098,1.267159326,0.192625447,0.726651363,0.120072344,0.114361956,0.222408673,12.3677926,0.381011095,0.652537455,0.507927034,0.283035939,0,0.096287764,0.079067755,29.04313334,3.744598602,1.550499327,2.082112952,1.56504078,0.658794621,3.937190856,17.57833078,25.05892846,56.94903012,11.41249448,14.36765965,1.618855947,42.58137047,9.793638535,0.413710641
600,716.7512841,0.088300608,0.730350895,0.09044608,11.14878537,0.346077623,4.997787799,0.091246884,0.103889402,0.087735805,1.536812595,20.15700096,1.301637465,0.222817315,0.74860802,0.152540364,0.124129688,0.25071402,12.30441902,0.385941294,0.638015541,0.528308935,0.324409175,0,0.051690101,0.110713853,28.44079455,3.742987879,1.530043597,2.106520163,1.716251551,0.694955514,4.817389008,17.59688466,24.58199623,57.39244018,12.51829744,14.34349792,1.653137606,43.04894226,10.86515983,0.428678926
