Animal ID,trtmt,sex,pvn1,pvn2,pvn3,pvn4,avpmean
231.15-5,0,1,76,59,40,34,52.3
220.17-2,1,1,21,14,23,34,23.0
248.1-4,0,1,40,30,34,34,34.5
240.7-4,1,1,31,42,24,39,34.0
220.17-4,0,1,9,10,13,22,13.5
231.15-6,1,1,34,25,36,39,33.5
220.17-5,0,1,35,,,,35.0
240.7-3,1,1,26,38,43,42,37.3
232.17-2,0,1,35,39,35,23,33.0
220.17-3,1,1,34,25,13,20,23.0
365.1-5,0,1,35,32,12,26,26.3
232.17-1,1,1,13,12,13,19,14.3
240.6-1,1,0,32,40,22,36,32.5
397.1-1,1,0,33,,,,33.0
241.6-1,1,0,24,16,12,15,16.8
240.7-1,0,0,35,38,41,35,37.3
231.15-2,1,0,35,35,37,38,36.3
241.6-2,0,0,35,26,36,36,33.3
240.7-2,1,0,31,29,41,37,34.5
231.15-1,0,0,27,28,42,38,33.8
365.2-3,1,0,21,24,26,,23.7
240.6-2,0,0,24,28,35,25,28.0
220.17-3,0,0,27,26,12,19,21.0
,,,,,,,
