Animal ID,trtmt,sex,pvn1,pvn2,pvn3,pvn4,pvn5,pvn6,otmean
231.15-5,0,1,35,32,56,51,,,43.5
220.17-2,1,1,39,44,41,29,34,27,35.7
248.1-4,0,1,39,30,55,34,80,73,51.8
240.7-4,1,1,26,26,70,56,,,44.5
220.17-4,0,1,48,55,68,70,,,60.3
231.15-6,1,1,66,51,38,52,50,39,49.3
220.17-5,0,1,57,59,59,47,,,55.5
240.7-3,1,1,25,29,39,37,35,31,32.7
232.17-2,0,1,42,57,,,,,49.5
220.17-3,1,1,43,56,59,83,,,60.3
365.1-5,0,1,48,47,52,59,52,67,54.2
232.17-1,1,1,46,49,39,32,,,41.5
240.6-1,1,0,21,14,31,25,31,30,25.3
397.1-1,1,0,44,46,30,,,,40.0
241.6-1,1,0,39,34,30,20,,,30.8
240.7-1,0,0,46,46,55,50,,,49.3
231.15-2,1,0,45,49,22,26,,,35.5
241.6-2,0,0,33,31,63,58,39,32,42.7
240.7-2,1,0,44,39,46,37,,,41.5
231.15-1,0,0,40,39,,,,,39.5
365.2-3,1,0,71,66,54,54,,,61.3
240.6-2,0,0,43,48,,,,,45.5
220.17-3,0,0,81,74,53,47,,,63.8
