site,type,group,ph,cond,wdepth,omdepth,cancov,area,rivernear,wetlandnear
1,Low,1,6.54,35.17,1.2,9.49,78,0.29,0,357.55
2,High,2,6.32,26.53,1.2,2.5,1,0.22,307.11,55.72
3,Low,1,7.04,157.43,0.33,4.55,1,0.24,21.12,43.91
4,High,2,7.8,36.23,1.2,2.82,1,0.14,449.35,293.66
5,Open Space,3,7.18,47.73,1.2,3.28,0,0.06,21.23,7.97
6,Open Space,3,6.42,35.93,1.2,4.17,0,0.04,26.04,7.97
7,Open Space,3,6.84,101.07,1.2,2.42,6,1.23,0,101.83
8,Open Space,3,6.63,49.27,1.2,8.27,19,0.18,0,8.9
9,Open Space,3,6.89,43.33,1.2,0.92,9,0.27,0,8.9
10,Open Space,3,6.24,44.43,1.2,5.62,33,0.1,1.58,295.02
11,Open Space,3,6.78,59.23,1.2,3.12,62,0.5,17.57,126.26
12,Open Space,3,7.17,68.13,1.2,3.93,67,0.06,55.25,126.26
13,Open Space,3,8,33.2,1.2,3.67,0,0.12,73.71,131.32
14,Open Space,3,6.75,91.43,0.75,6.68,17,0.01,179.65,201.11
15,Open Space,3,6.54,53.53,0.44,15.66,88,0,36.82,131.32
16,Low,1,6.89,35.33,1.2,3.08,35,0.31,0,251.86
17,Open Space,3,7.61,123.83,1.2,0.48,23,1.03,0,6.09
18,Open Space,3,6.55,128.67,1.2,4.23,40,0.14,188.28,6.09
19,High,2,6.51,38.73,0.31,0.51,13,0.1,306.74,0
20,High,2,6.1,46.7,0.28,0.8,2,0.09,268.58,0
21,High,2,7.14,24.33,1.2,4.94,54,0.12,0,367.31
22,Low,1,7.13,15.73,1.2,3.31,75,0.08,367,367.31
23,High,2,7.68,50.15,1.2,3,43,2.19,0,95.98
24,High,2,6.81,158.47,1.2,8,30,0.04,802.8,148.39
25,Low,1,7.3,65.73,1.2,6.09,41,3.29,18.71,0
26,Low,1,6.5,43.03,0.6,5.63,68,0.1,429.62,202.04
27,Low,1,7.12,69.4,1.2,4.5,56,4.06,7.48,0
28,High,2,6.79,42.3,0.15,1.65,4,0.02,14.85,731.76
29,Low,1,6.88,92.9,1.2,3.62,48,0.35,229.02,29.88
30,Low,1,6.94,108.05,1.2,2.7,45,0.13,0,31.99
31,High,2,6.35,78.53,0.2,5.67,36,0.06,66.5,8.55
32,High,2,7.35,107.97,1.2,3.92,36,0.2,0,27.07
33,High,2,7.25,92.43,1.2,1.91,47,0.18,0,27.07
34,High,2,6.91,22.25,1.2,4.61,8,0.69,115,2.8
35,High,2,6.89,76.87,0.46,10.87,16,0.05,0,0
36,High,2,6.34,70.13,0.61,5.37,3,0.09,53.62,305.64
37,Low,1,6.5,38.7,0.45,4.8,85,0.38,0,58.24
38,Low,1,6.38,67.03,0.71,9.63,53,0.32,414.57,8.56
39,High,2,7.45,41.2,1.2,4.45,31,0.01,441.51,131.3
40,Open Space,3,6.43,41.53,1.2,3.09,0,0.38,273.36,251.85
41,Low,1,6.47,34.63,1.2,10.86,43,0.07,0,164.36
42,Open Space,3,7.05,74.28,1.2,5.34,32,4.18,22.04,45.73
43,Low,1,7.16,47.2,1.2,2.66,60,0.64,0,639.28
44,Low,1,6.7,35.65,1.2,2.14,65,1.14,7.9,0
45,Low,1,6.84,29.53,1.2,12.2,31,0.45,0,164.36
46,High,2,7.03,34.57,1.2,6.5,64,0.3,72.8,65.39
47,Open Space,3,6.87,72.97,1.2,2.05,17,0.6,347.9,5.52
48,Open Space,3,6.6,150.2,0.9,10.39,48,0.23,413.75,8.38
49,Open Space,3,6.23,126.55,0.12,5.46,4,0.01,11.36,61.01
50,Open Space,3,8.13,82.83,0.44,9.13,29,0.01,350.54,64.2
51,Low,1,5.99,17,1.2,4.49,34,0.09,239.64,357.55
