Biomass;Block;Fertilization;Temp;Browsing;Parcelle_id;Biomass_beg2009;Biomass_end2009
535.3;A;N;H;0;ANH0;41;53
470.52;A;N;H;1;ANH1;34;71
243.51;A;N;H;3;ANH3;20;45
1171.89;A;N;L;0;ANL0;25;61
775.68;A;N;L;1;ANL1;27;56
928.05;A;N;L;3;ANL3;32;64
1273.95;A;S;H;0;ASH0;30;78
851.81;A;S;H;1;ASH1;28;56
1219.47;A;S;H;3;ASH3;22;34
1139.32;A;S;L;0;ASL0;17;65
849.43;A;S;L;1;ASL1;41;74
639.01;A;S;L;3;ASL3;25;59
775.3;B;N;H;0;BNH0;28;48
1346.83;B;N;H;1;BNH1;48;53
603.38;B;N;H;3;BNH3;26;38
873.35;B;N;L;0;BNL0;32;55
952.31;B;N;L;1;BNL1;45;73
399.93;B;N;L;3;BNL3;23;25
346.66;B;S;H;0;BSH0;23;31
569.31;B;S;H;1;BSH1;43;60
472.18;B;S;H;3;BSH3;20;31
778.56;B;S;L;0;BSL0;50;69
467.74;B;S;L;1;BSL1;34;37
587.19;B;S;L;3;BSL3;45;33
470.74;C;N;H;0;CNH0;53;58
346.43;C;N;H;1;CNH1;25;30
649.11;C;N;H;3;CNH3;53;40
1291.47;C;N;L;0;CNL0;51;61
639.33;C;N;L;1;CNL1;40;66
566.04;C;N;L;3;CNL3;28;26
395.57;C;S;H;0;CSH0;45;57
312.41;C;S;H;1;CSH1;22;38
626.33;C;S;H;3;CSH3;35;44
520.59;C;S;L;0;CSL0;29;64
1201.15;C;S;L;1;CSL1;30;62
447.61;C;S;L;3;CSL3;31;50
375.05;D;N;H;0;DNH0;28;57
529.03;D;N;H;1;DNH1;38;68
521.84;D;N;H;3;DNH3;43;56
528.71;D;N;L;0;DNL0;40;62
453.01;D;N;L;1;DNL1;31;45
695.96;D;N;L;3;DNL3;20;34
450.29;D;S;H;0;DSH0;11;31
598.85;D;S;H;1;DSH1;29;26
764.94;D;S;H;3;DSH3;45;47
584.6;D;S;L;0;DSL0;37;43
176.35;D;S;L;1;DSL1;13;21
996.24;D;S;L;3;DSL3;40;78
1023.05;E;N;H;0;ENH0;39;66
1133.93;E;N;H;1;ENH1;42;43
335.5;E;N;H;3;ENH3;31;37
1101.51;E;N;L;0;ENL0;42;51
1680.63;E;N;L;1;ENL1;33;53
551.25;E;N;L;3;ENL3;32;54
618.76;E;S;H;0;ESH0;12;25
513.45;E;S;H;1;ESH1;21;34
452.02;E;S;H;3;ESH3;33;38
1046.72;E;S;L;0;ESL0;43;61
705.32;E;S;L;1;ESL1;33;61
478.77;E;S;L;3;ESL3;30;42
