subject,species,week1,week2,week3,week4,week5
1,Styrax pohlii,0.04,-0.02,0.02,-0.62,-0.95
2,Styrax pohlii,0.03,0.01,-0.01,-0.05,0.02
3,Styrax pohlii,-0.19,0,-0.17,0.18,
4,Styrax pohlii,0.3,0.19,0.31,0.19,
5,Styrax pohlii,0.17,-0.15,0.94,0.93,
6,Styrax pohlii,0.35,0,0.12,-0.08,0.18
7,Styrax pohlii,-0.11,0,-0.01,0.05,-0.26
8,Styrax pohlii,0,0,0.2,0.22,0.21
9,Styrax pohlii,-0.7,-0.65,,,
10,Styrax pohlii,0.27,0.1,-0.51,-0.21,0.15
11,Styrax pohlii,-0.02,-0.04,-0.04,0.16,0.16
12,Styrax pohlii,0.8,0.78,1.09,1.44,1.54
13,Styrax pohlii,0.08,0.3,0.44,0.26,
14,Styrax pohlii,0.15,0.17,0.18,0.13,0.11
15,Styrax pohlii,-0.03,0.06,0.1,0.15,0.13
16,Styrax pohlii,0.35,0.66,0.81,0.8,-0.01
17,Styrax pohlii,0.23,0.24,0.19,0.21,0.22
18,Styrax pohlii,-0.32,0.07,-0.03,0.85,0.94
20,Myrcia lineata,1.65,1.35,1.54,,
21,Myrcia lineata,0.04,0.09,0.22,0.04,-0.57
22,Myrcia lineata,-0.23,-0.59,-0.54,,
23,Myrcia lineata,-0.14,0.15,0.08,-0.65,-0.68
24,Myrcia lineata,0.02,0.09,1.13,,
25,Myrcia lineata,0.03,0.71,1.55,,
26,Myrcia lineata,0.01,0.09,0.68,,
27,Myrcia lineata,-0.05,-0.03,-0.05,,
28,Myrcia lineata,-0.21,-0.62,-1.34,-1.51,-1.72
29,Myrcia lineata,0.12,0.05,0.11,0.23,
30,Myrcia lineata,0.33,0.86,0.89,1.1,1.12
31,Myrcia lineata,0.01,0.18,0.36,0.59,0.57
32,Myrcia lineata,0.01,0.12,0.3,0.33,0.45
33,Myrcia lineata,-0.01,0.45,0.41,0.15,0.16
34,Myrcia lineata,0.18,0.55,0.54,0.57,0.53
35,Myrcia lineata,0.49,0.82,0.81,1.04,1.24
36,Myrcia lineata,0.32,0.36,0.44,0.41,0.83
37,Myrcia lineata,-0.01,0.03,0.17,0.18,0.2
38,Myrcia lineata,0.25,0.43,0.82,-0.07,
39,Eucalyptus globulus,0.07,-0.06,-0.18,0.25,
40,Eucalyptus globulus,0.06,0.33,0.33,-1.38,-1.21
41,Eucalyptus globulus,-1.22,-1.24,-1.28,,
42,Eucalyptus globulus,-0.84,-1.65,,-0.36,-0.21
43,Eucalyptus globulus,-0.56,-0.41,-0.41,-0.08,
44,Eucalyptus globulus,0.03,-0.02,-0.09,,
45,Eucalyptus globulus,0,0,0.46,0.19,0.26
46,Eucalyptus globulus,0.06,0.1,0.2,-2.23,-2.32
47,Eucalyptus globulus,-0.63,-1.44,-2.03,0.31,0.14
48,Eucalyptus globulus,0,-0.05,-0.11,,
49,Eucalyptus globulus,-0.11,0.31,,-0.25,
50,Eucalyptus globulus,0.44,0.52,0.12,,
51,Eucalyptus globulus,0.03,,,0.25,0.22
52,Eucalyptus globulus,0.03,0.07,0.25,0.16,
53,Eucalyptus globulus,0.09,0.34,0.2,,
54,Eucalyptus globulus,0.02,0.02,-0.05,,
55,Eucalyptus globulus,-0.02,0,,,
56,Eucalyptus globulus,0.02,0.07,0.06,0.02,0.09
57,Eucalyptus globulus,0.36,0.32,0.45,0.04,0.35
58,Eucalyptus globulus,0.15,0.05,0.04,,
59,Miconia chartacea,0.98,2.03,2.24,3.73,3.81
60,Miconia chartacea,0.53,1.94,1.97,2.86,3.61
62,Miconia chartacea,1.73,2.08,2.15,2.05,2.46
63,Miconia chartacea,0.17,0.67,0.82,2.84,3.21
64,Miconia chartacea,0.73,1.06,1.42,2.28,2.3
65,Miconia chartacea,0.09,0.8,1.69,2.72,2.78
66,Miconia chartacea,0.01,0.48,,,
68,Miconia chartacea,0.7,1.46,1.54,2.01,1.84
69,Miconia chartacea,2.31,2.66,3.68,4.43,4.78
70,Miconia chartacea,1.39,2.04,2.52,2.35,
