fish_id,sex,temperature,bm_test_kg,fl_test_cm,mmr,rmr,AAS,FAS,total_epoc
10_16_b1_1,F,9,1.63,52.7,12.160,1.380,10.780,8.812,512.49
10_16_b1_2,F,9,2.10,41.1,11.980,1.127,10.853,10.630,616.91
10_16_b1_3,F,9,1.62,55,9.750,1.099,8.651,8.872,367.3
10_16_b2_3,F,9,2.61,59.6,8.840,1.280,7.560,6.906,387.92
10_22_b1_1,F,9,2.54,60.8,11.916,1.262,10.654,9.442,612.14
10_22_b1_2,F,9,2.54,59.3,11.501,1.080,10.421,10.649,690.88
10_22_b2_1,F,9,2.56,60.1,13.595,0.989,12.606,13.746,485.28
10_22_b2_3,F,9,2.74,61.7,14.832,1.368,13.464,10.842,2782.92
10_30_b1_1,F,9,2.17,57.8,10.100,1.225,8.875,8.245,698.77
10_30_b1_2,F,9,2.31,58.4,7.839,1.308,6.531,5.993,622.76
11_1_b1_1,F,9,2.06,56.8,10.504,1.126,9.378,9.329,781.93
11_1_b1_3,F,9,1.48,41.3,16.901,2.050,14.851,8.245,2104.11
10_16_b2_4,M,9,1.31,51.2,13.747,1.279,12.468,10.748,634.66
10_22_b1_4,M,9,2.09,57.8,13.110,1.377,11.733,9.520,2486.91
10_22_b2_4,M,9,1.78,54,12.261,1.976,10.285,6.205,3568.93
10_30_b1_4,M,9,2.27,58.7,9.710,1.335,8.375,7.273,670.07
10_30_b2_1,M,9,1.76,53.4,12.730,1.466,11.264,8.683,671.05
11_1_b1_2,M,9,2.79,60.7,12.732,1.364,11.368,9.334,2789.59
11_1_b2_2,M,9,2.25,59.7,12.296,1.483,10.813,8.291,806.81
11_1_b2_4,M,9,1.85,56.2,11.439,1.198,10.241,9.548,89.83
11_5_b1_2,F,14,2.22,58,15.347,1.464,13.883,10.483,814.94
11_5_b1_4,F,14,2.06,56,11.488,1.517,9.971,7.573,623.45
11_10_b2_1,F,14,2.97,64.5,10.124,1.716,8.408,5.899,1836.23
11_10_b2_2,F,14,1.53,53.1,17.651,1.878,15.773,9.399,151.76
11_10_b2_3,F,14,1.82,51.1,11.608,2.199,9.409,5.279,238.92
11_10_b2_4,F,14,2.44,59.5,13.641,1.627,12.014,8.384,1038.75
11_2_b1_2,F,14,3.01,61.1,8.829,1.683,7.146,5.246,617.77
11_2_b2_3,F,14,1.44,52.1,9.946,1.598,8.348,6.224,768.49
11_2_b2_4,F,14,2.34,58,9.388,2.119,7.269,4.430,710.88
11_5_b1_3,M,14,1.44,49.3,14.431,1.481,12.950,9.744,1077.52
11_12_b2_2,M,14,1.73,54.8,15.321,1.862,13.459,8.228,1409.76
11_12_b2_3,M,14,1.46,53,11.952,3.017,8.935,3.962,616.48
11_12_b2_4,M,14,2.75,62.3,12.664,1.959,10.705,6.465,966.83
11_2_b1_3,M,14,1.54,52.4,10.560,1.916,8.644,5.512,1124.95
11_2_b1_4,M,14,1.65,52.8,10.339,1.850,8.489,5.588,661.43
11_2_b2_1,M,14,2.05,58.2,12.968,2.155,10.813,6.018,1004.77
11_9_b2_1,M,14,2.04,57.7,16.142,2.282,13.860,7.074,2327.87
11_9_b2_2,M,14,1.61,52.3,11.231,2.018,9.213,5.565,740.35
11_3_b1_1,F,18,2.13,56.5,17.529,3.350,14.179,5.233,949.34
11_3_b1_3,F,18,2.06,57,9.871,3.540,6.331,2.788,767.77
11_6_b1_2,F,18,2.02,55.4,12.306,1.760,10.546,6.992,924.63
11_6_b1_3,F,18,1.44,50.6,13.082,1.820,11.262,7.188,855.15
11_6_b2_1,F,18,2.00,56.1,11.337,1.900,9.437,5.967,846.67
11_6_b2_3,F,18,2.49,59,7.456,2.410,5.046,3.094,985.04
11_6_b2_4,F,18,2.21,56.7,10.007,1.910,8.097,5.239,792.34
11_9_b1_2,F,18,2.58,61.8,15.527,1.990,13.537,7.803,825.85
11_9_b1_3,F,18,1.43,53,11.000,2.910,8.090,3.780,886.51
11_12_b1_2,M,18,2.60,61.7,18.650,2.440,16.210,7.644,803.74
11_12_b1_4,M,18,2.57,61.9,13.959,3.700,10.259,3.773,1645.16
11_3_b1_2,M,18,2.10,58.7,17.709,2.920,14.789,6.065,1352.76
11_3_b2_1,M,18,2.37,60.4,14.789,2.700,12.089,5.477,1024.7
11_3_b2_3,M,18,1.83,52.3,10.685,3.350,7.335,3.190,660.93
11_6_b1_4,M,18,1.47,52.5,12.106,2.100,10.006,5.765,927.63
11_6_b2_2,M,18,2.38,60.3,9.922,2.530,7.392,3.922,1392.09
11_9_b1_4,M,18,2.13,58,12.618,2.870,9.748,4.396,1118.42
