fish_id,sex,temperature,bm_test_kg,ucrit_bl_s,ucrit_cm_s
Oct06fish1,F,9,2.461,2.836,167.756
Oct07fish2,F,9,1.525,2.488,113.567
Oct08fish1,F,9,1.885,3.592,135.208
Oct09fish1,F,9,1.614,3.184,112.879
Oct10fish2,F,9,1.984,3.647,155.070
Oct14fish1,F,9,2.142,3.132,160.883
Oct14fish2,F,9,2.028,2.767,105.653
Oct16fish1,F,9,2.581,2.936,168.327
Oct16fish2,F,9,2.708,2.638,140.878
Oct16fish3,F,9,3.255,3.086,154.580
Oct19fish1,F,9,2.006,2.643,121.130
Oct22fish1,F,9,2.890,2.670,153.614
Nov02fish1,F,14,2.001,3.258,158.945
Nov02fish2,F,14,1.609,3.279,156.097
Nov04fish1,F,14,2.321,3.169,160.810
Nov05fish1,F,14,1.770,3.469,169.509
Nov05fish2,F,14,1.910,3.156,160.252
Nov09fish2,F,14,1.738,4.248,161.878
Nov09fish3,F,14,1.393,2.542,105.843
Nov10fish2,F,14,3.003,3.027,170.248
Oct21fish1,F,14,2.272,3.105,149.209
Oct23fish1,F,14,1.899,2.702,134.866
Oct23fish2,F,14,2.799,3.378,170.613
Oct26fish1,F,14,1.877,3.086,151.254
Nov06fish4,F,18,2.048,2.303,119.336
Nov07fish1,F,18,1.713,3.581,172.556
Nov07fish2,F,18,2.025,3.044,164.018
Oct17fish1,F,18,2.284,2.811,161.618
Oct17fish2,F,18,2.401,2.766,150.936
Oct24fish1,F,18,2.532,2.616,149.225
Oct25fish1,F,18,2.339,2.497,131.362
Oct29fish1,F,18,1.765,3.181,160.174
Oct29fish2,F,18,1.827,3.287,135.327
Oct29fish3,F,18,1.850,3.048,147.289
Nov13fish4,M,9,1.611,2.400,109.402
Oct08fish2,M,9,1.900,3.061,121.372
Oct09fish3,M,9,2.573,3.539,153.273
Oct10fish1,M,9,1.994,2.697,140.002
Oct14fish3,M,9,1.549,3.191,153.094
Oct19fish2,M,9,2.096,2.338,122.593
Oct19fish3,M,9,3.368,2.573,158.900
Oct22fish2,M,9,4.108,2.989,144.800
Oct22fish3,M,9,1.759,2.910,143.364
Nov04fish2,M,14,2.050,2.934,159.917
Nov05fish3,M,14,1.998,2.604,135.029
Nov10fish1,M,14,1.594,3.213,131.326
Nov12fish1,M,14,2.060,3.599,148.965
Nov13fish1,M,14,2.287,3.398,176.762
Oct15fish1,M,14,1.856,3.653,145.057
Oct15fish2,M,14,2.519,3.204,161.921
Oct21fish2,M,14,1.708,3.780,160.112
Oct21fish3,M,14,1.736,3.334,175.129
Nov03fish1,M,18,2.188,3.110,164.926
Nov06fish1,M,18,1.555,2.804,131.878
Nov06fish2,M,18,2.251,2.873,121.330
Nov07fish3,M,18,1.637,2.385,94.255
Nov09fish1,M,18,2.044,3.311,162.714
Nov13fish3,M,18,2.584,2.858,131.881
Oct18fish1,M,18,1.357,3.300,143.288
Oct24fish2,M,18,2.977,2.329,135.910
