block,fertilization,temperature,browsing,plot_id,individual,biomass,ext,notes
B,N,H,0,BNH0,B,29.841,NA,NA
B,N,H,0,BNH0,D,31.5439,NA,NA
B,N,H,0,BNH0,E,1.8458,NA,NA
B,N,H,0,BNH0,F,26.4778,NA,NA
B,N,H,0,BNH0,F,10.7704,ext,NA
B,N,H,0,BNH0,H,3.6088,NA,NA
B,N,H,0,BNH0,G,1.9287,NA,NA
B,N,H,1,BNH1,A,3.4009,NA,NA
B,N,H,1,BNH1,C,37.4202,NA, (2/2) (3-5)
B,N,H,1,BNH1,B,16.897,NA,NA
B,N,H,1,BNH1,NA,0.002,NA,Katherine
B,N,H,1,BNH1,C,40.8069,NA,(1/2) (3-5)
B,N,H,3,BNH3,A,0.2166,NA,-4
B,N,H,3,BNH3,C,27.3264,NA,(1-3-2)
B,N,H,3,BNH3,C,8.477,ext,NA
B,N,H,3,BNH3,D,8.4208,NA,NA
B,N,H,3,BNH3,F,4.5291,NA,NA
B,N,H,3,BNH3,I,6.085,NA,NA
B,N,H,3,BNH3,J,0.5798,NA,NA
B,N,H,3,BNH3,K,1.4494,NA,NA
B,N,H,3,BNH3,L,14.6858,NA,NA
B,N,H,3,BNH3,NA,0.0252,NA,Katherine
B,N,H,3,BNH3,M,1.9741,NA,NA
B,N,L,0,BNL0,A,12.7935,NA,(1-4-3)
B,N,L,0,BNL0,B,36.1183,NA,-2
B,N,L,0,BNL0,E,18.5128,NA,NA
B,N,L,0,BNL0,F,15.5306,NA,NA
B,N,L,1,BNL1,B,11.9808,NA,-4
B,N,L,1,BNL1,C,5.8438,NA,NA
B,N,L,1,BNL1,D,30.2402,NA,(1-2)
B,N,L,1,BNL1,E,9.6133,NA,NA
B,N,L,1,BNL1,F,3.5338,NA,NA
B,N,L,1,BNL1,G,4.9362,NA,NA
B,N,L,1,BNL1,H,3.0779,NA,NA
B,N,L,1,BNL1,I,14.4183,NA,NA
B,N,L,3,BNL3,B,7.2175,NA,NA
B,N,L,3,BNL3,D,5.139,NA,NA
B,N,L,3,BNL3,F,6.0461,NA,NA
B,N,L,3,BNL3,NA,0.0397,NA,Katherine
B,N,L,3,BNL3,G,6.5919,NA,NA
B,S,H,0,BSH0,B,4.4262,NA,-5
B,S,H,0,BSH0,E,8.8285,NA,NA
B,S,H,0,BSH0,F,5.3277,NA,NA
B,S,H,0,BSH0,G,3.9253,ext,(2-4)
B,S,H,0,BSH0,G,6.598,NA,(2-4)
B,S,H,1,BSH1,A,0.5618,NA,NA
B,S,H,1,BSH1,C,18.9745,NA,-5
B,S,H,1,BSH1,D,7.9575,NA,NA
B,S,H,1,BSH1,E,3.2104,NA,-1
B,S,H,1,BSH1,F,1.3286,NA,NA
B,S,H,1,BSH1,G,0.8854,NA,NA
B,S,H,1,BSH1,H,14.8441,NA,-3
B,S,H,1,BSH1,I,1.4548,NA,NA
B,S,H,1,BSH1,NA,0.0015,NA,Katherine
B,S,H,3,BSH3,A,33.2564,NA,(3-5-2)
B,S,H,3,BSH3,C,1.5435,NA,NA
B,S,H,3,BSH3,B,0.163,NA,clones
B,S,H,3,BSH3,D,2.4306,NA,NA
B,S,H,3,BSH3,E,0.4984,NA,NA
B,S,H,3,BSH3,F,8.1328,NA,NA
B,S,H,3,BSH3,G,0.0082,NA,NA
B,S,L,0,BSL0,B,45.0922,NA,(1-2)
B,S,L,0,BSL0,C,25.7793,NA,NA
B,S,L,0,BSL0,D,5.9941,NA,-3
B,S,L,0,BSL0,D,23.5137,ext,-3
B,S,L,1,BSL1,A,4.2086,NA,-1
B,S,L,1,BSL1,C,5.3593,NA,-3
B,S,L,1,BSL1,G,19.8179,NA,-4
B,S,L,1,BSL1,NA,0.0866,NA,Katherine
B,S,L,1,BSL1,H,10.6205,NA,NA
B,S,L,1,BSL1,I,7.3711,NA,NA
B,S,L,3,BSL3,A,16.4017,NA,-3
B,S,L,3,BSL3,D,12.317,NA,NA
B,S,L,3,BSL3,E,4.7995,NA,-2
B,S,L,3,BSL3,F,0.0491,NA,NA
B,S,L,3,BSL3,H,10.0059,NA,NA
C,N,H,0,CNH0,B,1.3556,NA,(4-5)
C,N,H,0,CNH0,C,7.9023,NA,(4) 1/2
C,N,H,0,CNH0,C,12.7824,ext,(4) 2/2
C,N,H,0,CNH0,E,5.3702,ext,-1
C,N,H,0,CNH0,F,7.7125,NA,NA
C,N,H,0,CNH0,G,6.5638,NA,NA
C,N,H,0,CNH0,J,8.6978,NA,NA
C,N,H,1,CNH1,B,12.3236,NA,NA
C,N,H,1,CNH1,D,19.6944,ext,-5
C,N,H,1,CNH1,C,19.6944,ext,NA
C,N,H,1,CNH1,H,5.8873,NA,NA
C,N,H,1,CNH1,NA,0.0035,NA,Katherine
C,N,H,1,CNH1,I,3.5037,NA,NA
