male,departwt,distance,FFAduration,durationto,durationfrom
Pop,,534,31,18,11
Alt,973,755,89,9,8
Pro,977,1210,77,12,18
Hal,1121,,,,
Blu,,1297,76,19,25
Dua,996,1487,68,18,23
Rov,1100,2073,69,29,25
Ric,1068,2181,46,21,42
Ori,1097,,,,
Jer,1199,,,,
Rej,1339,,,,
Popi,,,,,
Cyo,1076,2267,87,27,28
Jed,1156,2437,35,35,
Pet,1145,2964,51,31,38
Bop,1081,2497,35,32,30
Ox,1105,3025,51,34,
Moo,1274,3235,55,28,31
Lux,1345,4511,31,44,41
Cap,1342,4217,26,42,40
Max,1449,4099,44,38,37
Pol,1489,4775,27,50,43
Sam,1634,4157,41,40,40
Joh,1208,4083,44,40,41
Ari,1318,4112,41,43,43
Jim,1311,4116,42,42,48
Tra,1296,4122,41,42,40
