site,manag,depth,silt,ph,o2,temp,surface,trans,cond,chla,tn,tp,susps,subm,reed,emerg
1J1,yf,120,28,7.45,53,23.8,2.17,28,620,14.60,1.599,0.092,10.2,50,100,50
1J2,yf,100,25,7.95,115,21.6,2.5,38,421,69.50,1.213,0.174,17.45,40,100,30
1J3,yf,110,10,7.8,80,22,1.96,20,384,166.11,1.152,0.069,26.95,10,100,30
1J5,yf,60,40,7.88,110,19.75,1.044,28,398,6.39,0.860,0.049,5.2,8,95,25
1J6,yf,100,40,7.82,101,20,0.456,23,330,24.46,0.573,0.039,6.06,100,100,10
1J7,yf,105,10,8.65,88,19.5,0.2,24,371,253.91,0.931,0.190,31.375,100,100,5
BK1,nf,35,10,6.97,72.4,25,0.25,18,259,153.60,0.904,0.048,21.8,100,100,35
BK2,nf,40,25,6.91,52.2,23.6,0.3,24,263,45.18,0.912,0.071,18,65,65,50
BK5,nf,80,30,7.76,70,20.05,1.812,33,328,15.99,1.143,0.174,4.875,20,20,50
BK6,nf,60,15,8.3,84,20.55,0.9,42,322,8.62,0.900,0.142,6.22,80,80,5
BK7,nf,80,30,7.48,53,20,0.88,43,197,24.00909091,0.963,0.013,7.25,100,100,90
O1,nm,65,20,7.53,100,22.7,0.25,49,320,26.41,0.997,0.036,12.8,5,5,5
O2,nm,63,30,6.83,87,22.2,0.5,20,110,88.96,1.436,0.066,15.8,100,100,35
O3,nm,90,10,9.88,200,27.65,0.7,19,311,152.21,1.502,0.080,43.1,5,5,10
O4,nm,32,15,8.29,133,29.1,0.16,5,296,731.14,0.000,0.008,98.6,0,80,50
O5,nm,80,55,7.84,50,20.5,0.225,10,326,162.63,0.000,0.043,32,1,1,30
O6,nm,90,50,7.81,90,21.5,2.42,30,341,34.55,0.000,0.003,8.235294118,5,5,5
O7,nm,140,45,7.74,20,19.15,0.872,26,344,47.10,0.000,0.000,9.833333333,0,0,10
V1,li,54,15,7.25,109,22.1,0.64,11,420,110.51,0.023,0.000,30.1,0,0,60
V2,li,55,80,8.41,162,23.7,1.416,11,193,1934.88,0.000,0.000,69.2,100,100,65
V3,li,85,8,8.36,147,23.9,2.25,5,370,681.10,2.422,0.152,92.6,0,50,40
V4,li,40,45,8.85,120,25.35,0.783,6,380,1225.98,0.000,0.176,101.4,0,0,5
V5,li,70,110,7.1,60,21,0.39,32,262,10.57,0.539,0.045,31.4,0,0,40
