site,manag,managsymb,caen,baet,acrol,lymn,plan,sphaer,vivip,corix,nauc,nepid,noto,pleid,gamm,asell,cerat,chaob,chiro,culic,cylind,dixid,empid,ephyd,limon,psych,ptych,sciom,strat,hirud,lepid
1J1,yf,0,0,158,0,3,5,0,0,671,0,0,0,0,0,0,4,23,222,19,0,40,0,0,8,0,0,0,1,0,1
1J2,yf,0,6,13,0,0,50,0,0,95,0,0,0,0,0,0,7,37,322,17,0,52,0,0,1,0,2,0,0,0,0
1J3,yf,0,0,20,0,3,16,0,0,8,0,0,0,0,1,0,9,60,240,12,0,30,0,0,25,0,0,0,0,1,0
1J5,yf,0,5,98,0,10,206,2,0,98,0,0,0,0,2,4,5,20,26,4,0,2,0,0,9,0,0,0,11,24,2
1J6,yf,0,0,3,0,9,14,0,0,23,0,0,0,0,1,0,0,3,60,3,0,5,1,1,2,1,0,0,0,0,0
1J7,yf,0,3,605,0,7,19,0,0,9,0,0,0,0,0,0,7,5,394,19,0,0,0,0,0,0,0,0,0,0,0
BK1,nf,1,31,1571,0,763,1164,80,0,730,0,0,3,20,4,0,88,68,1236,12,0,4,0,0,8,0,0,0,0,19,0
BK2,nf,1,36,494,0,109,1035,147,0,389,2,0,1,141,0,0,3,0,62,0,0,6,0,0,0,0,0,0,0,11,0
BK5,nf,1,0,73,1,46,64,0,0,239,2,0,0,5,4,0,6,204,569,24,0,47,0,0,0,0,0,0,0,1,0
BK6,nf,1,16,90,0,15,421,0,0,25,0,0,0,0,1,1,20,22,69,21,0,38,5,0,10,0,0,1,3,8,9
BK7,nf,1,12,282,42,4,25,36,0,46,3,0,7,91,1,1,6,38,54,8,0,0,0,0,2,0,0,0,0,3,0
O1,nm,2,0,4,0,0,0,0,0,2,0,3,0,0,0,2,0,0,12,0,0,0,0,0,2,0,0,0,0,0,0
O2,nm,2,13,13,0,0,1,0,0,83,0,0,1,0,0,0,8,2,124,0,0,19,0,0,1,0,0,0,0,0,1
O3,nm,2,15,31,0,51,6,1,0,24,0,0,0,0,0,0,34,8,274,5,0,29,0,0,3,0,0,0,0,3,1
O4,nm,2,0,28,2,72,39,2,0,150,3,0,0,1,0,0,0,1,21,1,0,9,0,0,1,0,0,0,0,1,0
O5,nm,2,53,18,0,6,2,0,0,22,5,0,6,0,0,4,1,0,16,0,0,19,0,0,12,0,0,0,1,0,6
O6,nm,2,6,3,0,10,0,0,0,18,0,6,0,0,0,0,0,5,19,4,0,35,0,0,38,0,0,0,0,0,0
O7,nm,2,30,0,10,20,18,9,1,197,0,2,0,0,0,9,14,0,215,3,0,2,0,0,9,0,0,0,1,3,0
V1,li,6,6,16,0,5,9,0,0,81,0,0,0,0,74,1,3,29,196,26,3,39,0,0,8,0,0,0,1,7,0
V2,li,6,3,39,0,0,0,0,0,15,0,0,0,0,0,1,3,2,22,4,0,26,0,0,11,0,0,0,0,1,0
V3,li,6,0,6,0,2,0,1,0,6,0,0,0,0,1,0,14,131,342,0,0,57,0,0,28,0,0,0,0,2,0
V4,li,6,0,6,0,4,3,0,0,2,4,0,0,0,0,0,27,16,176,14,0,56,0,0,40,0,0,0,0,4,0
V5,li,6,0,58,0,7,18,2,0,51,1,0,0,0,0,0,0,18,147,9,0,21,0,0,8,0,0,0,2,0,0
