morph,col,size
BRANCHING,361,1.8912
BRANCHING,361,8.2259
BRANCHING,361,3.0047
BRANCHING,361,2.0495
BRANCHING,361,0.5167
BRANCHING,362,6.8058
BRANCHING,362,5.6315
BRANCHING,362,2.784
BRANCHING,362,4.047
BRANCHING,362,2.8263
BRANCHING,363,12.301
BRANCHING,363,4.1495
BRANCHING,363,6.6301
BRANCHING,363,4.73
BRANCHING,363,4.1827
BRANCHING,364,2.2394
BRANCHING,364,3.2637
BRANCHING,364,15.6997
BRANCHING,364,3.375
BRANCHING,364,4.3124
BRANCHING,365,6.6228
BRANCHING,365,3.5358
BRANCHING,365,2.6221
BRANCHING,365,1.1372
BRANCHING,365,6.4164
BRANCHING,366,1.305
BRANCHING,366,9.8821
BRANCHING,366,4.8849
BRANCHING,366,3.5892
BRANCHING,366,5.4088
BRANCHING,367,12.301
BRANCHING,367,11.8292
BRANCHING,367,4.4283
BRANCHING,367,4.6947
BRANCHING,367,3.637
BRANCHING,368,4.3879
BRANCHING,368,4.1159
BRANCHING,368,7.4474
BRANCHING,368,1.9019
BRANCHING,368,6.2761
BRANCHING,369,2.6651
BRANCHING,369,5.3052
BRANCHING,369,4.3948
BRANCHING,369,0.6481
BRANCHING,369,4.9424
BRANCHING,370,7.714
BRANCHING,370,10.7708
BRANCHING,370,4.1833
BRANCHING,370,2.9595
BRANCHING,370,1.4183
MASSIVE,381,123.2605
MASSIVE,381,53.7812
MASSIVE,381,155.4084
MASSIVE,381,4.8936
MASSIVE,381,10.3155
MASSIVE,382,19.1142
MASSIVE,382,1.5911
MASSIVE,382,2.555
MASSIVE,382,6.6
MASSIVE,382,5.2298
MASSIVE,383,2.8828
MASSIVE,383,23.0415
MASSIVE,383,9.337
MASSIVE,383,3.9341
MASSIVE,383,16.3329
MASSIVE,384,17.3684
MASSIVE,384,76.143
MASSIVE,384,3.7811
MASSIVE,384,46.2287
MASSIVE,384,2.0079
MASSIVE,385,3.846
MASSIVE,385,35.892
MASSIVE,385,4.5874
MASSIVE,385,9.0925
MASSIVE,385,14.224
MASSIVE,386,8.72
MASSIVE,386,17.4744
MASSIVE,386,7.5348
MASSIVE,386,4.2841
MASSIVE,386,28.3999
MASSIVE,387,245.1188
MASSIVE,387,11.0752
MASSIVE,387,1.9229
MASSIVE,387,529.9225
MASSIVE,387,12.8552
MASSIVE,388,33.3049
MASSIVE,388,49.9473
MASSIVE,388,12.5595
MASSIVE,388,58.4365
MASSIVE,388,26.9186
MASSIVE,389,3.4867
MASSIVE,389,11.8769
MASSIVE,389,93.2586
MASSIVE,389,18.3692
MASSIVE,389,165.6014
MASSIVE,390,98.2752
MASSIVE,390,29.9212
MASSIVE,390,196.0898
MASSIVE,390,12.1836
MASSIVE,390,14.4891
