depth,tank,pressure,biomass,nodes,slength,hvbiomass
30,1,low,3.204,1161.9653,14.09549842,2.606
30,1,medium,3.523,1456.900524,16.63712042,2.496
30,1,high,7.077,1679.020408,19.73608163,5.69
30,2,low,3.969,1257.913183,15.23996785,2.789
30,2,medium,4.47,1402.152824,20.20061462,3.609
30,2,high,8.041,2172.380615,28.82365248,5.935
30,3,low,0.53,371.1823204,4.193745856,0.339
30,3,medium,1.473,756.255814,8.357996124,1.019
30,3,high,1.719,1191.075,15.192225,1.532
30,4,low,1.879,814.2919708,10.04277372,1.521
30,4,medium,2.693,1021.379939,11.90242249,2.202
30,4,high,5.192,1827.721604,18.86423831,4.164
30,5,low,1.312,755.625,8.09625,0.786
30,5,medium,2.235,974.4181034,9.514810345,1.909
30,5,high,3.379,1116.440729,13.1013769,2.853
70,6,low,0.596,270.3513514,3.190864865,0.413
70,6,medium,1.043,479.3756345,5.423444162,0.889
70,6,high,2.143,898.0616114,11.66588152,1.772
70,7,low,0.182,225,1.531,0.112
70,7,medium,0.662,524.4710145,6.218442029,0.277
70,7,high,0.535,460.8333333,4.897041667,0.277
70,8,low,1.28,732.4568528,9.770390863,0.787
70,8,medium,2.924,1189.178082,14.94385388,2.738
70,8,high,3.169,1046.469163,16.80551542,2.639
70,9,low,0.357,207,1.988,0.096
70,9,medium,0.996,461.1847826,5.612891304,0.786
70,9,high,2.508,1178.437299,18.19734727,1.932
70,10,low,0.183,156,1.305,0.104
70,10,medium,0.321,170,2.25,0.181
70,10,high,1.146,567.0931677,6.894701863,0.349
