rh,colour,timepup,subst,sex,weight,colnum
low,green,19,leaf,male,0.159,1
low,green,21,leaf,female,0.2511,1
low,green,19,leaf,male,0.2289,1
low,green,21,off-leaf,male,0.196,1
low,green,21,off-leaf,male,0.1178,1
low,green,21,off-leaf,female,0.2312,1
low,green,21,off-leaf,female,0.2409,1
low,green,21,leaf,male,0.1958,1
low,green,21,leaf,male,0.1818,1
low,green,19,leaf,male,0.1962,1
low,green,19,leaf,male,0.1998,1
low,green,19,off-leaf,male,0.2004,1
low,green,19,leaf,female,0.1424,1
low,green,19,leaf,male,0.1678,1
low,green,17,off-leaf,female,0.2481,1
low,green,23,leaf,male,0.1655,1
low,green,23,off-leaf,male,0.1716,1
low,green,21,off-leaf,male,0.184,1
low,green,21,off-leaf,female,0.2298,1
low,green,23,off-leaf,male,0.1707,1
low,green,23,leaf,female,0.2182,1
low,green,23,off-leaf,female,0.2096,1
low,green,23,off-leaf,male,0.1848,1
low,green,23,off-leaf,male,0.1794,1
low,green,23,leaf,male,0.1682,1
low,green,23,leaf,male,0.2064,1
low,green,23,leaf,female,0.1771,1
low,green,23,leaf,male,0.1949,1
low,green,23,leaf,male,0.1834,1
low,green,23,leaf,male,0.2061,1
low,green,23,leaf,female,0.2147,1
low,green,22,leaf,male,0.2007,1
low,green,26,off-leaf,female,0.1275,1
low,green,26,off-leaf,female,0.181,1
low,green,26,off-leaf,male,0.1386,1
low,green,22,off-leaf,male,0.2292,1
low,green,22,leaf,female,0.2268,1
low,green,22,leaf,male,0.2312,1
low,green,24,leaf,male,0.1608,1
low,green,24,leaf,female,0.1759,1
low,green,24,off-leaf,female,0.2062,1
low,green,20,off-leaf,female,0.1855,1
low,green,20,leaf,female,0.1934,1
low,green,22,off-leaf,female,0.2168,1
low,green,22,leaf,female,0.1762,1
low,green,22,leaf,female,0.2007,1
low,green,26,leaf,male,0.1355,1
low,green,26,leaf,female,0.186,1
low,green,26,leaf,male,0.1545,1
low,green,26,leaf,female,0.1984,1
low,green,26,off-leaf,female,0.1254,1
low,green,26,off-leaf,female,0.1503,1
low,green,24,off-leaf,male,0.1746,1
low,green,24,off-leaf,male,0.2158,1
low,green,24,off-leaf,male,0.1603,1
low,green,24,off-leaf,male,0.2047,1
low,green,24,off-leaf,female,0.2178,1
low,green,24,leaf,female,0.1808,1
low,green,24,leaf,female,0.2351,1
low,green,24,leaf,female,0.2504,1
low,green,24,leaf,female,0.2545,1
low,green,26,leaf,female,0.1792,1
low,green,26,leaf,female,0.1954,1
low,green,26,leaf,female,0.2118,1
low,green,26,leaf,female,0.2279,1
low,green,26,leaf,male,0.2111,1
low,green,26,leaf,female,0.2364,1
low,green,26,leaf,male,0.1891,1
low,green,26,off-leaf,female,0.1811,1
low,green,26,off-leaf,female,0.1728,1
low,green,22,leaf,male,0.2448,1
low,green,22,off-leaf,male,0.2267,1
low,green,22,off-leaf,female,0.2068,1
low,green,29,leaf,male,0.1077,1
low,green,29,leaf,male,0.1115,1
low,green,31,leaf,female,0.2305,1
low,green,31,leaf,male,0.1343,1
low,green,34,off-leaf,female,0.1464,1
low,green,29,leaf,female,0.1865,1
low,green,29,leaf,male,0.141,1
low,green,29,leaf,male,0.1378,1
low,green,29,off-leaf,female,0.175,1
low,green,29,leaf,female,0.1686,1
low,green,29,off-leaf,male,0.1604,1
low,green,29,leaf,male,0.1214,1
low,green,23,off-leaf,male,0.1875,1
low,green,23,off-leaf,female,0.2198,1
