stream,zinc,diversity,zngroup,zincq
Eagle,BACK,2.27,1,2
Eagle,HIGH,1.25,4,407
Eagle,HIGH,1.15,4,336
Eagle,MED,1.62,3,104
Blue,BACK,1.7,1,7
Blue,HIGH,0.63,4,1735
Blue,BACK,2.05,1,3
Blue,BACK,1.98,1,9
Blue,HIGH,1.04,4,691
Blue,MED,2.19,3,72
Blue,MED,2.1,3,56
Snake,BACK,2.2,1,13
Snake,MED,2.06,3,72
Snake,HIGH,1.9,4,364
Snake,HIGH,1.88,4,399
Snake,HIGH,0.85,4,276
Arkan,LOW,1.4,2,39
Arkan,LOW,2.18,2,28
Arkan,LOW,1.83,2,24
Arkan,LOW,1.88,2,26
Arkan,MED,2.02,3,181
Arkan,MED,1.94,3,79
Arkan,LOW,2.1,2,2
Chalk,LOW,2.38,2,31
Chalk,HIGH,1.43,4,452
Chalk,HIGH,1.37,4,224
Chalk,MED,1.75,3,76
Chalk,LOW,2.83,2,26
Splat,BACK,1.53,1,2
Splat,BACK,0.76,1,12
Splat,MED,0.8,3,168
Splat,LOW,1.66,2,24
Splat,MED,0.98,3,52
Splat,BACK,1.89,1,10
