dataset,birdid,sex,spp,sppsex,year,bdb,bdn,bl,mhl,tl,wl
a,1,m,ys,ysm,2002,10.48,7.55,36.37,85.16,45.98,237
a,20,f,bs,bsf,2002,11.54,8.71,38.21,89.42,51.04,251
a,21,f,bs,bsf,2002,11.69,8.74,38.02,88.6,48.2,253
a,23,f,bs,bsf,2002,11.45,8.4,38.9,90.02,50.88,263
a,138,f,bs,bsf,2004,11.29,8.02,38.22,87.82,49.24,250
a,140,m,bs,bsm,2004,12.7,9.22,38.99,91.75,51.66,261
a,141,f,bs,bsf,2004,10.78,7.95,37.7,88.43,49.89,253
a,142,m,u,um,2004,11.42,8.59,39.03,91.46,49.09,241.5
a,143,f,bs,bsf,2004,11.96,9.1,35.68,86.5,47.77,257
a,214,f,ys,ysf,2005,10.29,6.77,35.16,82.05,46.59,225
a,215,f,ys,ysf,2005,10.83,7.26,35.43,83.96,49.53,235
a,219,f,ys,ysf,2005,10.76,7.64,36.12,85.09,46.91,234.5
a,221,f,ys,ysf,2005,10.3,7.2,35.25,82.12,47.24,239
a,222,f,ys,ysf,2005,10.51,7.45,36.9,85.02,47.32,244
a,223,m,ys,ysm,2005,10.59,7.64,37.85,87.97,46.72,234
a,228,m,ys,ysm,2005,11.29,8.3,38.68,88.21,48.59,240
a,245,m,ys,ysm,2005,11.54,8.74,37.45,87.94,47.51,231
a,246,f,ys,ysf,2005,10.32,7.28,35.36,81.11,45.72,230
a,247,f,ys,ysf,2005,10.88,7.25,36.92,85.79,46.16,234
a,248,m,ys,ysm,2005,11.2,8.01,39.41,88.3,47.87,242
a,251,f,ys,ysf,2005,10.96,8.26,36.92,85.6,48.16,238.5
a,254,m,ys,ysm,2005,11.41,8.41,37.95,87.38,48.73,239.5
a,255,m,ys,ysm,2005,12.18,8.48,37.57,89.42,49.62,247
a,256,f,ys,ysf,2005,11.7,8.07,37.09,84.8,46.25,236
a,283,m,ys,ysm,2005,11.48,8.02,36.41,86.21,48.72,238.5
a,286,m,u,um,2005,13.08,10.09,39.59,90.51,48.47,250
a,287,m,bs,bsm,2006,13.25,9.31,39.76,91.35,48.92,249.5
a,293,m,bs,bsm,2006,13.18,9.72,41.56,94.62,50.12,247
a,294,m,bs,bsm,2006,12.58,9.39,38.79,90.59,50.71,254
a,295,f,bs,bsf,2006,11.08,7.92,37.78,86.76,47.99,247
a,296,f,bs,bsf,2006,11.16,8.22,38.52,88.62,49.46,249.5
a,297,f,bs,bsf,2006,12.05,8.74,37.4,85.5,48.55,252
a,299,m,ys,ysm,2006,10.96,7.81,36.99,87.12,49.7,240.5
a,300,f,ys,ysf,2006,11.21,8.05,36.98,83.69,45.25,236.5
a,301,f,ys,ysf,2006,10.87,7.76,39.29,87.2,47.45,234
a,303,f,ys,ysf,2006,10.55,7.82,36.26,84.52,49.14,237
a,304,f,ys,ysf,2006,10.27,7.51,36.46,84.12,46.43,235
a,305,f,ys,ysf,2006,10.18,7.34,38.18,86.1,49.82,239
a,306,m,ys,ysm,2006,11.29,7.99,37.87,88.3,51.23,245
a,307,f,ys,ysf,2006,10.3,7.87,39.04,87.68,48.96,242
a,315,f,bs,bsf,2006,11.09,8.18,37.54,87.6,48.37,259
a,316,f,bs,bsf,2006,11.03,8.39,34.28,85.34,49.25,251.5
a,317,f,ys,ysf,2006,10.1,7.11,34.08,80.57,45.91,242
a,318,m,u,um,2006,11.37,8.35,39.14,90.36,49.86,241
a,330,f,ys,ysf,2006,10.34,7.92,35.7,82.35,46.21,234
a,331,f,ys,ysf,2006,10.83,7.58,33.37,81.85,45.38,234.5
a,332,f,ys,ysf,2006,9.24,6.28,35.65,82.84,47.09,234
a,334,m,bs,bsm,2006,12.45,9.18,41.41,94.32,49.52,255
a,335,f,ys,ysf,2006,10.54,7.62,37.62,85.53,47.24,244.5
a,336,m,bs,bsm,2006,12.59,9.24,41.35,93,50.39,261
a,337,f,bs,bsf,2006,11.93,8.66,38.55,88.86,50.15,249
a,340,f,ys,ysf,2006,10.55,7.26,37.57,85.05,46.99,239
a,341,f,ys,ysf,2006,10.69,8.03,38.12,85.6,46.65,239.5
a,342,f,ys,ysf,2006,10.3,7.22,35.27,82.88,46.15,228
a,344,f,ys,ysf,2006,11.22,8.02,36.84,84.32,47.89,240
a,346,m,ys,ysm,2006,10.8,7.66,38.6,86.94,49.35,237
a,347,m,ys,ysm,2006,11.71,8.52,40.9,91.92,47.65,244
a,348,f,bs,bsf,2006,11.09,7.91,37.69,87.41,50.15,245
a,349,m,bs,bsm,2006,12.22,8.96,41.25,93.87,50.4,254
a,350,m,bs,bsm,2006,11.82,8.19,37.9,89.48,49.5,242
a,352,m,bs,bsm,2006,11.97,8.54,40.44,92.71,49.85,256
a,353,f,bs,bsf,2006,11.25,8.46,36.31,87.14,50.47,251
a,354,f,bs,bsf,2006,11.44,8.39,38.24,88.6,49.64,252.5
a,357,f,ys,ysf,2006,10.58,7.86,36.11,84.14,47.24,240.5
a,358,f,ys,ysf,2006,10.64,7.87,37.67,86.89,48.22,246
a,359,m,ys,ysm,2006,11,7.89,38.91,88.84,50.2,243
a,360,f,ys,ysf,2006,11.37,7.9,39.62,88.02,48.2,242.5
a,361,f,ys,ysf,2006,10.24,7.13,37.49,84.42,47.04,237
a,458,m,bs,bsm,2007,12.33,9.13,38.85,92.37,49.92,249
a,459,f,bs,bsf,2007,11.64,8.36,37.17,86.2,47.64,245
a,461,m,bs,bsm,2007,12.64,9.49,41.57,92.26,48.57,244
a,466,f,bs,bsf,2007,11.74,8.24,37.67,86.96,49.52,248
a,474,f,bs,bsf,2007,12.01,9.02,39.85,90.05,51.13,265
a,477,m,bs,bsm,2007,12.32,9.57,40.46,91.85,55.86,257
a,478,f,bs,bsf,2007,12.05,8.42,38.75,88.36,48.59,251
a,479,f,bs,bsf,2007,11.63,8.36,36.54,87.18,50.52,245
a,480,m,bs,bsm,2007,12.88,9.27,40.68,93.14,50.58,252
a,481,m,bs,bsm,2007,12.9,9.99,39.21,91.16,50.36,246
a,482,m,bs,bsm,2007,12.86,8.84,40.27,92.6,49.15,254
a,484,m,bs,bsm,2007,12.57,9.43,40.14,93.69,51.39,254
a,485,m,bs,bsm,2007,12.16,9.26,38.05,90.11,51.9,253
a,486,m,bs,bsm,2007,12.64,8.97,41.1,93.64,50.56,253
a,487,m,bs,bsm,2007,12.44,9.55,37.74,91.47,51.72,255
a,488,f,bs,bsf,2007,11.33,8.17,37.75,87.41,46.72,255
a,489,m,bs,bsm,2007,11.58,8.7,36.99,88.17,49.33,257
a,495,m,bs,bsm,2007,12.1,8.85,37.57,89.46,52.18,253.5
a,496,f,u,uf,2007,11.05,8.03,38.12,87.36,49.73,250
a,497,m,bs,bsm,2007,12.43,9.02,39.01,91.81,51.09,252
a,502,m,bs,bsm,2007,11.76,8.75,38.65,91.5,50.48,251.5
a,504,m,bs,bsm,2007,12.81,9.48,39.07,89.97,50.86,250
a,505,f,bs,bsf,2007,11.47,8.47,37.83,87.9,49,253
a,507,m,bs,bsm,2007,12.03,8.91,39.01,90.7,50.73,253
a,508,m,bs,bsm,2007,12.58,9.34,41,93.69,52.29,250
a,509,f,bs,bsf,2007,11.53,8.24,35.51,85.5,48.68,250.5
a,510,f,bs,bsf,2007,11.32,9.18,36.02,85.73,49.23,255
a,512,m,bs,bsm,2007,12.73,9.15,39.9,93.72,50.1,253
a,528,f,bs,bsf,2007,12.48,9.41,37.74,88.65,50.56,258
a,529,f,bs,bsf,2007,11.54,8.48,35.94,85.45,50.99,254
a,530,f,bs,bsf,2007,10.99,7.92,39.81,88,49.3,252
a,531,m,bs,bsm,2007,12.2,8.67,37.57,88.15,49.67,247
a,532,m,bs,bsm,2007,12.3,9.46,39.54,92.83,51.3,254
a,533,m,bs,bsm,2007,12.74,9.03,39.34,91.26,50.4,251
a,534,f,bs,bsf,2007,11.93,8.18,37.53,87.8,48.98,251.5
a,535,f,bs,bsf,2007,10.68,7.43,37.64,87.26,50.93,256.5
a,537,f,bs,bsf,2007,12.24,9.04,37.36,88.42,48.55,251
a,538,f,bs,bsf,2007,11.03,8.24,36.71,87.22,47.8,244
a,539,f,bs,bsf,2007,10.74,7.66,36.14,84.27,46.6,243.5
a,56067,f,ys,ysf,2005,11.4,7.84,36.85,83.55,47.41,236
