population,phenotype,tepal,population1
1,Short,26.08,a
1,Short,20.04,a
1,Short,18.7,a
1,Short,21.04,a
1,Short,16.42,a
1,Short,18.26,a
1,Short,23.92,a
1,Short,17.81,a
1,Short,24.83,a
1,Short,22.44,a
1,Short,17.55,a
1,Short,21.66,a
1,Short,20.44,a
1,Short,18.86,a
1,Short,20.39,a
1,Short,21.77,a
1,Short,20.22,a
1,Short,22.21,a
1,Short,19.46,a
1,Short,23.97,a
2,Short,20,b
2,Short,15.5,b
2,Short,19,b
2,Short,16,b
2,Short,28,b
2,Short,19.5,b
2,Short,22,b
2,Short,27,b
2,Short,11.5,b
2,Short,17.5,b
2,Short,16.5,b
2,Short,22,b
2,Short,23,b
2,Short,19.99,b
2,Short,12.65,b
2,Short,24.97,b
2,Short,20.66,b
2,Short,13.97,b
2,Short,13.44,b
2,Short,18.27,b
2,Short,14.8,b
3,Short,19,c
3,Short,21,c
3,Short,19,c
3,Short,24,c
3,Short,21,c
3,Short,29,c
3,Short,16,c
3,Short,23,c
3,Short,21,c
3,Short,19,c
3,Short,20,c
3,Short,26,c
3,Short,19.5,c
3,Short,16.5,c
3,Short,24.5,c
3,Short,14,c
3,Short,22,c
3,Short,19,c
3,Short,18,c
3,Short,27,c
3,Short,26,c
3,Short,20,c
3,Short,24,c
3,Short,13,c
3,Short,16,c
3,Short,21,c
3,Short,19,c
4,Short,21.95,d
4,Short,16.78,d
4,Short,17.45,d
4,Short,30.35,d
4,Short,23.67,d
4,Short,15.76,d
4,Short,22.05,d
4,Short,21.94,d
4,Short,17.9,d
4,Short,23.51,d
4,Short,20.06,d
4,Short,20.97,d
4,Short,20.33,d
4,Short,26.21,d
4,Short,21.21,d
4,Short,19.99,d
4,Short,18.37,d
4,Short,24.59,d
4,Short,26,d
4,Short,23.01,d
5,Short,21.5,e
5,Short,25,e
5,Short,30,e
5,Short,22,e
5,Short,26,e
5,Short,22,e
5,Short,17,e
5,Short,18,e
5,Short,26,e
5,Short,20,e
5,Short,15.5,e
5,Short,16,e
5,Short,20,e
5,Short,21,e
5,Short,20,e
5,Short,19.5,e
5,Short,31,e
5,Short,27,e
5,Short,19,e
5,Short,22.5,e
5,Short,14,e
5,Short,21.5,e
5,Short,19,e
6,Short,31,f
6,Short,31.5,f
6,Short,27.5,f
6,Short,30,f
6,Short,41,f
6,Short,26,f
6,Short,29,f
6,Short,25,f
6,Short,26,f
6,Short,35,f
6,Short,37,f
6,Short,27,f
6,Short,26,f
6,Short,32,f
6,Short,31,f
6,Short,23,f
6,Short,27,f
6,Short,26,f
6,Short,28,f
7,Short,25,g
7,Short,17.5,g
7,Short,19,g
7,Short,17,g
7,Short,18,g
7,Short,23,g
7,Short,27,g
7,Short,32,g
7,Short,32,g
7,Short,27,g
7,Short,28,g
7,Short,27,g
7,Short,24,g
7,Short,31,g
7,Short,21,g
7,Short,22.5,g
7,Short,22.5,g
7,Short,23.5,g
7,Short,21,g
7,Short,27,g
7,Short,27.5,g
7,Short,31,g
7,Short,27.5,g
7,Short,18.5,g
7,Short,19,g
7,Short,28,g
7,Short,24.5,g
7,Short,22,g
7,Short,17,g
7,Short,25,g
7,Short,25.5,g
7,Short,23,g
7,Short,28,g
7,Short,27,g
7,Short,28,g
7,Short,29,g
7,Short,26,g
7,Short,26,g
7,Short,21,g
7,Short,22.5,g
7,Short,30,g
7,Short,25.5,g
7,Short,36,g
9,Long,26.95,h
9,Long,28.45,h
9,Long,27.15,h
9,Long,32.62,h
9,Long,31.39,h
9,Long,35.99,h
9,Long,23.69,h
9,Long,26.79,h
9,Long,22.98,h
9,Long,38.1,h
9,Long,32.88,h
9,Long,27.33,h
9,Long,24.25,h
9,Long,35.42,h
9,Long,27.83,h
9,Long,40.01,h
9,Long,28.84,h
9,Long,21.07,h
9,Long,35.2,h
9,Long,24.95,h
9,Long,40.97,h
9,Long,25.43,h
10,Long,32,i
10,Long,30,i
10,Long,33,i
10,Long,28,i
10,Long,29.5,i
10,Long,32,i
10,Long,28,i
10,Long,24,i
10,Long,31.5,i
10,Long,27,i
10,Long,35,i
10,Long,33,i
10,Long,25,i
10,Long,22,i
10,Long,32,i
10,Long,23,i
10,Long,25,i
10,Long,37,i
10,Long,25,i
10,Long,27,i
10,Long,30.5,i
10,Long,29,i
10,Long,33.5,i
10,Long,30,i
10,Long,25,i
10,Long,40,i
11,Long,32,j
11,Long,30,j
11,Long,33,j
11,Long,28,j
11,Long,29.5,j
11,Long,32,j
11,Long,28,j
11,Long,24,j
11,Long,31.5,j
11,Long,27,j
11,Long,35,j
11,Long,33,j
11,Long,25,j
11,Long,22,j
11,Long,32,j
11,Long,23,j
11,Long,25,j
11,Long,37,j
11,Long,25,j
11,Long,27,j
11,Long,30.5,j
11,Long,29,j
11,Long,33.5,j
11,Long,30,j
11,Long,25,j
