habitat,bong,ampm,month,abund
perm,a,am,nov,27
perm,b,am,nov,27
perm,c,am,nov,33
perm,d,am,nov,31
temp,e,am,nov,55
temp,f,am,nov,75
temp,g,am,nov,36
temp,h,am,nov,29
wood,i,am,nov,12
wood,j,am,nov,13
wood,k,am,nov,21
wood,l,am,nov,22
perm,a,pm,nov,22
perm,b,pm,nov,22
perm,c,pm,nov,23
perm,d,pm,nov,15
temp,e,pm,nov,41
temp,f,pm,nov,71
temp,g,pm,nov,32
temp,h,pm,nov,32
wood,i,pm,nov,10
wood,j,pm,nov,12
wood,k,pm,nov,22
wood,l,pm,nov,16
perm,a,am,dec,35
perm,b,am,dec,23
perm,c,am,dec,20
perm,d,am,dec,23
temp,e,am,dec,33
temp,f,am,dec,79
temp,g,am,dec,56
temp,h,am,dec,35
wood,i,am,dec,18
wood,j,am,dec,13
wood,k,am,dec,11
wood,l,am,dec,13
perm,a,pm,dec,24
perm,b,pm,dec,28
perm,c,pm,dec,12
perm,d,pm,dec,18
temp,e,pm,dec,25
temp,f,pm,dec,60
temp,g,pm,dec,49
temp,h,pm,dec,19
wood,i,pm,dec,11
wood,j,pm,dec,9
wood,k,pm,dec,21
wood,l,pm,dec,15
perm,a,am,jan,24
perm,b,am,jan,44
perm,c,am,jan,33
perm,d,am,jan,20
temp,e,am,jan,50
temp,f,am,jan,71
temp,g,am,jan,35
temp,h,am,jan,46
wood,i,am,jan,14
wood,j,am,jan,11
wood,k,am,jan,28
wood,l,am,jan,7
perm,a,pm,jan,35
perm,b,pm,jan,35
perm,c,pm,jan,40
perm,d,pm,jan,37
temp,e,pm,jan,29
temp,f,pm,jan,96
temp,g,pm,jan,45
temp,h,pm,jan,39
wood,i,pm,jan,12
wood,j,pm,jan,20
wood,k,pm,jan,6
wood,l,pm,jan,10
perm,a,am,feb,50
perm,b,am,feb,50
perm,c,am,feb,41
perm,d,am,feb,61
temp,e,am,feb,27
temp,f,am,feb,41
temp,g,am,feb,32
temp,h,am,feb,36
wood,i,am,feb,34
wood,j,am,feb,8
wood,k,am,feb,22
wood,l,am,feb,19
perm,a,pm,feb,30
perm,b,pm,feb,44
perm,c,pm,feb,26
perm,d,pm,feb,60
temp,e,pm,feb,13
temp,f,pm,feb,27
temp,g,pm,feb,21
temp,h,pm,feb,33
wood,i,pm,feb,6
wood,j,pm,feb,10
wood,k,pm,feb,3
wood,l,pm,feb,15
