meso,treat,symb,caen,hydro,chiron,cerat,taban,sciomyz,baet,culicid,ephyd,corix,empid,notonec,limneph,tipulid,halip,coen,hydropt,helod,hydroph,phryg,polycen,leptoc,cosmop,aphid,dolich,tetrag,muscid,delph,chryso,agrom,mymar,aran,formic,cicad,noctuid,acrid
1,ALAN,1,203,3,25,0,0,0,0,5,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,4,0,0,0,0,0,0,0
2,no ALAN,15,9,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0
3,ALAN,1,119,0,27,0,0,0,1,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0,0,0
4,ALAN,1,247,0,56,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0,1,0,1,0,0,1,0,0,0,0
5,no ALAN,15,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
6,no ALAN,15,14,0,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0
7,ALAN,1,146,0,20,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0
8,no ALAN,15,14,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,4,0,0,0,0,1,1,0,0,0,0,0
9,ALAN,1,150,0,29,3,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,no ALAN,15,3,0,1,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0
11,ALAN,1,22,1,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,0,0,0,0,0,0,0,0,0,0
12,no ALAN,15,35,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,ALAN,1,111,0,22,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,2,0,0,0,0,0,0,1
14,ALAN,1,25,1,5,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
15,no ALAN,15,23,1,5,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16,no ALAN,15,23,0,8,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
17,no ALAN,15,11,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0
18,ALAN,1,160,0,13,2,0,0,2,0,2,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
19,ALAN,1,159,0,25,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,1,0,0,0,0,0,0,0
20,no ALAN,15,24,0,9,0,0,0,2,1,3,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,1,0
