partners,type,treatment,longev,thorax
8,0,preg8,35,0.64
8,0,preg8,37,0.68
8,0,preg8,49,0.68
8,0,preg8,46,0.72
8,0,preg8,63,0.72
8,0,preg8,39,0.76
8,0,preg8,46,0.76
8,0,preg8,56,0.76
8,0,preg8,63,0.76
8,0,preg8,65,0.76
8,0,preg8,56,0.8
8,0,preg8,65,0.8
8,0,preg8,70,0.8
8,0,preg8,63,0.84
8,0,preg8,65,0.84
8,0,preg8,70,0.84
8,0,preg8,77,0.84
8,0,preg8,81,0.84
8,0,preg8,86,0.84
8,0,preg8,70,0.88
8,0,preg8,70,0.88
8,0,preg8,77,0.92
8,0,preg8,77,0.92
8,0,preg8,81,0.92
8,0,preg8,77,0.94
0,9,none,40,0.64
0,9,none,37,0.7
0,9,none,44,0.72
0,9,none,47,0.72
0,9,none,47,0.72
0,9,none,47,0.76
0,9,none,68,0.78
0,9,none,47,0.8
0,9,none,54,0.84
0,9,none,61,0.84
0,9,none,71,0.84
0,9,none,75,0.84
0,9,none,89,0.84
0,9,none,58,0.88
0,9,none,59,0.88
0,9,none,62,0.88
0,9,none,79,0.88
0,9,none,96,0.88
0,9,none,58,0.92
0,9,none,62,0.92
0,9,none,70,0.92
0,9,none,72,0.92
0,9,none,75,0.92
0,9,none,96,0.92
0,9,none,75,0.94
1,0,preg1,46,0.64
1,0,preg1,42,0.68
1,0,preg1,65,0.72
1,0,preg1,46,0.76
1,0,preg1,58,0.76
1,0,preg1,42,0.8
1,0,preg1,48,0.8
1,0,preg1,58,0.8
1,0,preg1,50,0.82
1,0,preg1,80,0.82
1,0,preg1,63,0.84
1,0,preg1,65,0.84
1,0,preg1,70,0.84
1,0,preg1,70,0.84
1,0,preg1,72,0.84
1,0,preg1,97,0.84
1,0,preg1,46,0.88
1,0,preg1,56,0.88
1,0,preg1,70,0.88
1,0,preg1,70,0.88
1,0,preg1,72,0.88
1,0,preg1,76,0.88
1,0,preg1,90,0.88
1,0,preg1,76,0.92
1,0,preg1,92,0.92
1,1,virg1,21,0.68
1,1,virg1,40,0.68
1,1,virg1,44,0.72
1,1,virg1,54,0.76
1,1,virg1,36,0.78
1,1,virg1,40,0.8
1,1,virg1,56,0.8
1,1,virg1,60,0.8
1,1,virg1,48,0.84
1,1,virg1,53,0.84
1,1,virg1,60,0.84
1,1,virg1,60,0.84
1,1,virg1,65,0.84
1,1,virg1,68,0.84
1,1,virg1,60,0.88
1,1,virg1,81,0.88
1,1,virg1,81,0.88
1,1,virg1,48,0.9
1,1,virg1,48,0.9
1,1,virg1,56,0.9
1,1,virg1,68,0.9
1,1,virg1,75,0.9
1,1,virg1,81,0.9
1,1,virg1,48,0.92
1,1,virg1,68,0.92
8,1,virg8,16,0.64
8,1,virg8,19,0.64
8,1,virg8,19,0.68
8,1,virg8,32,0.72
8,1,virg8,33,0.72
8,1,virg8,33,0.74
8,1,virg8,30,0.76
8,1,virg8,42,0.76
8,1,virg8,42,0.76
8,1,virg8,33,0.78
8,1,virg8,26,0.8
8,1,virg8,30,0.8
8,1,virg8,40,0.82
8,1,virg8,54,0.82
8,1,virg8,34,0.84
8,1,virg8,34,0.84
8,1,virg8,47,0.84
8,1,virg8,47,0.84
8,1,virg8,42,0.88
8,1,virg8,47,0.88
8,1,virg8,54,0.88
8,1,virg8,54,0.88
8,1,virg8,56,0.88
8,1,virg8,60,0.88
8,1,virg8,44,0.92
