ageclass,sex,long,lat,thg,delta15n,delta13c,hgdep,hgwet,prec,tempmax,tempmin,elev,dist,soc,sph10,sph60,
Adult,Male,-139.2,64.4,0.095,5.775,-24.480,8.644,5.731,30.459,0.242,-10.445,1205,496304.425,19.000,56,58,
Yearling,Female,-136.5,62.2,1.184,9.570,-25.438,10.364,3.209,22.764,3.282,-8.797,954,721306.539,144.104,56,60,
Adult,Female,-137.4,62.8,0.498,6.692,-25.216,12.601,2.918,25.705,2.845,-8.578,687,653101.602,114.319,54,60,
Yearling,Female,-133.1,60.7,0.308,5.747,-25.773,9.165,3.253,28.955,4.186,-7.525,926,883503.556,69.691,56,58,
Adult,Male,-135.4,63.3,0.058,6.330,-25.684,9.067,2.700,31.001,3.142,-9.092,598,590826.774,106.367,66,70,
Yearling,Male,-139.2,64.4,0.084,5.594,-23.896,8.644,5.731,30.459,0.242,-10.445,1205,496304.425,19.000,56,58,
Adult,Male,-140.6,64.6,0.12,4.000,-33.459,11.238,2.964,25.016,3.363,-8.605,442,501614.840,93.346,57,61,
Yearling,Male,-137.4,62.8,0.595,7.223,-26.486,12.601,2.918,25.705,2.845,-8.578,687,653101.602,114.319,54,60,
Yearling,Male,-137.4,62.8,0.309,7.280,-25.037,12.601,2.918,25.705,2.845,-8.578,687,653101.602,114.319,54,60,
Adult,Male,-132.0,61.3,0.052,4.728,-25.333,6.673,3.062,31.631,3.376,-9.474,1048,830036.039,81.455,55,58,
Adult,Male,-139.2,64.4,0.085,5.813,-24.298,8.644,5.731,30.459,0.242,-10.445,1205,496304.425,19.000,56,58,
Adult,Male,-139.8,63.3,0.031,6.358,-25.700,12.485,3.333,25.655,2.340,-9.383,626,625659.087,92.000,49,55,
Yearling,Male,-136.8,61.9,0.143,6.943,-23.437,8.963,3.389,21.144,2.681,-9.180,1119,747457.959,164.045,55,60,
Yearling,Male,-139.4,63.1,0.176,6.509,-25.526,11.577,3.947,27.750,2.768,-8.424,758,639444.486,76.000,57,60,
Adult,Male,-136.1,61.3,0.158,7.257,-25.041,11.878,2.366,22.435,4.981,-7.632,1140,814292.226,96.357,56,58,
Adult,Male,-133.8,60.2,0.139,6.643,-25.068,10.676,3.096,24.942,5.365,-5.569,992,936729.165,77.122,55,57,
Yearling,Male,-136.8,60.2,0.092,5.633,-24.439,8.681,3.938,34.923,5.191,-5.498,1051,941374.108,39.107,54,57,
Yearling,Male,-136.8,61.9,0.099,6.328,-24.184,8.963,3.389,21.144,2.681,-9.180,1119,747457.959,164.045,55,60,
Yearling,Male,-131.1,60.2,0.047,6.257,-27.988,7.400,2.656,43.389,4.169,-7.108,1241,952971.065,85.242,52,62,
Yearling,Male,-133.1,60.2,0.112,6.034,-24.483,9.924,3.169,32.349,3.680,-7.085,983,944447.721,61.594,55,61,
Adult,Female,-136.9,60.7,0.137,7.406,-24.261,9.643,3.747,23.900,5.113,-7.210,852,884773.320,90.451,59,63,
Yearling,Male,-135.8,60.9,0.063,6.020,-25.079,9.427,2.879,22.645,4.748,-6.940,962,859405.240,83.211,56,62,
Yearling,Male,-135.8,60.9,0.037,6.708,-24.886,9.427,2.879,22.645,4.748,-6.940,962,859405.240,83.211,56,62,
Yearling,Male,-137.8,63.8,0.031,5.819,-26.138,11.780,2.794,30.142,1.450,-9.107,634,554051.727,66.000,54,61,
Adult,Female,-135.8,60.9,0.077,6.203,-25.549,9.427,2.879,22.645,4.748,-6.940,962,859405.240,83.211,56,62,
Yearling,Male,-140.1,62.3,0.143,5.679,-25.498,15.266,3.089,31.978,2.383,-10.004,562,734544.419,99.350,60,65,
Yearling,Male,-138.8,62.5,0.079,6.541,-25.683,9.716,2.726,23.316,3.522,-8.000,1113,698651.508,149.955,50,54,
Adult,Male,-133.1,60.2,0.048,5.531,-24.890,9.924,3.169,32.349,3.680,-7.085,983,944447.721,61.594,55,61,
Yearling,Male,-135.0,62.3,0.151,7.003,-25.422,9.063,3.347,29.022,3.995,-8.561,829,706789.628,80.656,56,63,
Yearling,Male,-136.6,60.7,0.106,5.182,-24.984,9.214,2.873,27.427,4.113,-7.483,1310,887881.927,99.155,48,52,
Adult,Male,-136.5,62.2,0.234,7.056,-24.724,10.364,3.209,22.764,3.282,-8.797,954,721306.539,144.104,56,60,
Unknown,Female,-136.8,61.9,0.152,7.199,-24.284,8.963,3.389,21.144,2.681,-9.180,1119,747457.959,164.045,55,60,
Yearling,Male,-134.5,60.3,0.059,5.837,-24.818,10.363,4.577,28.176,4.144,-6.911,1418,924250.750,89.279,55,58,
Yearling,Male,-131.4,62.3,0.103,6.496,-24.172,8.108,2.370,32.142,3.309,-9.997,822,727218.847,80.275,58,62,
Unknown,Male,-137.4,62.8,1.545,7.368,-25.347,12.601,2.918,25.705,2.845,-8.578,687,653101.602,114.319,54,60,
Yearling,Female,-135.0,61.2,0.411,6.630,-24.724,13.615,3.170,21.255,4.898,-6.843,785,828438.110,66.056,54,61,
Yearling,Female,-135.0,61.2,0.516,6.339,-24.463,13.615,3.170,21.255,4.898,-6.843,785,828438.110,66.056,54,61,
