cancov,shannon,logvol,lsnags,ltrees,basarea,slope,aspect,rspres,coneind,resprop
78.468,0.623,101.76,21.93,131.58,455417.68,-10,285,0,0,0.28571
56.716,0.708,117.46,21.93,87.72,305798.28,-8,240,0,0,0
83.876,0.381,31.1,0,87.72,528041.94,-22,5,0,0,0.66667
78.208,1.1,44.34,21.93,175.44,636344.78,-5,180,1,4,0.90476
58.5,0.892,153.97,0,21.93,319287.64,-14,250,0,0,0.09524
71.708,0.861,101.45,0,43.86,520032.01,-12,50,0,0,0.04762
65.104,0.699,124.52,21.93,109.65,584454.89,-10,220,0,0,0.7619
62.348,0.814,173.77,0,65.79,440843.22,-4,282,1,1,0.57143
65.832,1.017,74.45,21.93,43.86,628072.79,-8,300,0,0,0
73.164,0.248,92.94,65.79,131.58,928825.19,-14,274,0,0,0.7619
59.644,1.104,175.24,43.86,43.86,325497.12,-9,135,0,0,0
81.12,0.848,34.17,43.86,109.65,795710.75,-8,240,0,0,0.19048
79.144,0.863,84.8,21.93,153.51,772364.07,-3,5,0,0,0
64.532,0.516,57.9,43.86,87.72,390961.9,-14,340,0,0,0
77.636,0.742,67.26,21.93,131.58,530339.11,-12,308,0,0,0.57143
79.04,0.732,71.8,43.86,197.37,611790.42,-9,312,0,0,0.19048
57.304,1.083,32.79,21.93,131.58,557794.81,-11,359,0,0,0
82.16,0.944,58.31,65.79,241.23,879990.15,-20,24,0,0,0
76.596,1.109,57.08,21.93,87.72,620470.53,-18,281,1,3,0.95238
69.212,1.199,30.11,21.93,109.65,498071.75,-15,274,1,4,0.80952
53.976,1.342,141.23,21.93,87.72,714843.88,-8,207,0,0,0
72.28,0.904,101.62,43.86,175.44,702882.38,-4,248,1,0,0.52381
65.572,0.787,60.44,43.86,131.58,580823.94,-10,230,1,0,0.66667
48.932,1.06,320.77,21.93,131.58,687903.97,-5,280,0,0,0
77.324,0.461,26.71,0,87.72,546380.03,-6,338,0,0,0
90.896,1.266,36.01,131.58,394.74,1722516.63,-10,310,1,3,1
72.28,1.252,52.83,21.93,241.23,997417.85,-25,18,1,4,0.85714
85.956,1.133,19.58,0,87.72,490999.76,-24,37,0,0,0.85714
75.556,1.165,91.71,87.72,241.23,783631.71,-10,329,0,0,0.57143
83.528,1.144,59.98,65.79,307.02,916829.92,-14,346,0,0,0.38095
78.347,0.413,64.17,0,109.65,729697.07,-7,21,0,0,0.14286
86.06,0.938,49.69,0,109.65,840831.07,-23,18,0,3,0.66667
79.768,1.269,16.36,43.86,219.3,782240.47,-19,206,0,4,0.71429
69.732,1.407,132.65,21.93,87.72,484976.47,-13,206,0,0,0.71429
72.852,1.259,67.57,0,109.65,645461.3,-2,22,0,0,0
80.392,0.777,45.86,0,87.72,535906.7,-20,35,1,2,1
59.072,1.084,36.58,21.93,87.72,407873,-7,275,0,0,0
76.804,1.176,122.74,43.86,175.44,1128393.02,-15,5,0,0,0.38095
88.348,1.104,65.55,65.79,219.3,743813.85,-10,17,1,4,0.71429
71.136,1.226,76.32,43.86,131.58,657162.49,-7,21,0,0,0.7619
84.656,1.241,95.79,21.93,197.37,778800.75,-16,342,0,0,0
81.848,0.945,73.07,43.86,43.86,743852.22,-28,290,0,0,0
74.464,1.298,32.46,0,43.86,278405.52,-7,358,0,0,0
60.58,0.305,16.23,43.86,197.37,821302.62,-38,223,0,0,0
63.388,1.154,55.46,21.93,153.51,583113.66,-7,224,0,0,0
30.524,1.352,74.36,87.72,131.58,394471.8,-22,228,0,0,0
69.004,1.267,13.95,65.79,153.51,799869.78,-20,237,0,0,0
60.362,1.142,116.16,0,153.51,637470.01,-11,344,0,0,0
16.64,1.055,182.68,65.79,65.79,257502.28,-17,256,0,0,0
59.332,1.114,70.59,0,65.79,493805.05,-5,265,0,0,0
82.26,0.63,125.22,21.93,592.11,698386.07,-22,10,0,4,0.61905
77.11,1.15,174.124,21.93,394.74,657841.67,-12,270,0,0,0.57143
79.09,0.72,90.571,43.86,899.13,516263.56,-13,124,0,1,0.28571
85.82,1.3,37.5,43.86,986.85,514520.34,-12,150,1,4,0.90476
73.15,1.32,42.764,0,1096.5,746073.73,-10,129,0,0,0.19048
69.18,0.86,50.658,0,877.2,367525.97,-6,276,1,1,0.61905
80.48,1.07,105.483,65.79,921.06,1231452.83,-15,254,0,0,0
69.04,1.64,96.492,43.86,592.11,518340.33,-9,324,0,0,0.14286
75.38,0.726,39.693,21.93,1228.08,762385.27,-9,325,0,0,0
