weight,sex,litter,lsize,treatment,pup
6.6,Male,1,12,Control,1
7.4,Male,1,12,Control,2
7.15,Male,1,12,Control,3
7.24,Male,1,12,Control,4
7.1,Male,1,12,Control,5
6.04,Male,1,12,Control,6
6.98,Male,1,12,Control,7
7.05,Male,1,12,Control,8
6.95,Female,1,12,Control,9
6.29,Female,1,12,Control,10
6.77,Female,1,12,Control,11
6.57,Female,1,12,Control,12
6.37,Male,2,14,Control,13
6.37,Male,2,14,Control,14
6.9,Male,2,14,Control,15
6.34,Male,2,14,Control,16
6.5,Male,2,14,Control,17
6.1,Male,2,14,Control,18
6.44,Male,2,14,Control,19
6.94,Male,2,14,Control,20
6.41,Male,2,14,Control,21
5.92,Female,2,14,Control,22
6.04,Female,2,14,Control,23
5.82,Female,2,14,Control,24
6.04,Female,2,14,Control,25
5.96,Female,2,14,Control,26
7.5,Male,3,4,Control,27
7.08,Male,3,4,Control,28
7.57,Female,3,4,Control,29
7.27,Female,3,4,Control,30
6.25,Male,4,14,Control,31
6.93,Male,4,14,Control,32
6.8,Male,4,14,Control,33
6.69,Male,4,14,Control,34
6.28,Male,4,14,Control,35
6.27,Male,4,14,Control,36
6.27,Male,4,14,Control,37
6.47,Male,4,14,Control,38
6.29,Female,4,14,Control,39
5.98,Female,4,14,Control,40
6.32,Female,4,14,Control,41
6.28,Female,4,14,Control,42
5.65,Female,4,14,Control,43
5.57,Female,4,14,Control,44
7.96,Male,5,13,Control,45
6.84,Male,5,13,Control,46
7,Male,5,13,Control,47
8.1,Male,5,13,Control,48
6.52,Male,5,13,Control,49
7.23,Male,5,13,Control,50
6.1,Male,5,13,Control,51
7.31,Male,5,13,Control,52
7.16,Female,5,13,Control,53
7.09,Female,5,13,Control,54
7.14,Female,5,13,Control,55
5.02,Female,5,13,Control,56
6.04,Female,5,13,Control,57
8.26,Male,6,9,Control,58
7.73,Male,6,9,Control,59
8.33,Male,6,9,Control,60
6.14,Male,6,9,Control,61
7.75,Male,6,9,Control,62
6.96,Male,6,9,Control,63
7.26,Female,6,9,Control,64
6.58,Female,6,9,Control,65
3.68,Female,6,9,Control,66
6.29,Male,7,18,Control,67
6.32,Male,7,18,Control,68
6.28,Male,7,18,Control,69
6.24,Male,7,18,Control,70
6.78,Male,7,18,Control,71
6.63,Male,7,18,Control,72
6.27,Male,7,18,Control,73
6.29,Male,7,18,Control,74
6.06,Male,7,18,Control,75
6.16,Female,7,18,Control,76
5.96,Female,7,18,Control,77
6.26,Female,7,18,Control,78
5.83,Female,7,18,Control,79
6.11,Female,7,18,Control,80
6.45,Female,7,18,Control,81
6.25,Female,7,18,Control,82
6.31,Female,7,18,Control,83
5.74,Female,7,18,Control,84
6.04,Male,8,17,Control,85
5.84,Male,8,17,Control,86
6.77,Male,8,17,Control,87
5.59,Male,8,17,Control,88
5.52,Male,8,17,Control,89
6.42,Male,8,17,Control,90
5.97,Male,8,17,Control,91
6.34,Male,8,17,Control,92
