Habitat,Plot,Growth,Predation
Mud,1,0.7,Exclusion
Mud,1,0.7,Exclusion
Mud,1,0.2,Exclusion
Mud,1,1.1,Exclusion
Mud,1,0.9,Exclusion
Mud,1,0.3,Exclusion
Mud,1,0,Exclusion
Mud,2,0.1,Exclusion
Mud,2,0.6,Exclusion
Mud,2,0.1,Exclusion
Mud,2,-0.1,Exclusion
Mud,2,-0.2,Exclusion
Mud,3,0.1,Exclusion
Mud,3,0.2,Exclusion
Mud,3,0.1,Exclusion
Mud,3,0.3,Exclusion
Mud,3,0,Exclusion
Mud,3,0.2,Exclusion
Mud,4,0,Exclusion
Mud,4,0.1,Exclusion
Mud,4,0.8,Exclusion
Mud,4,0,Exclusion
Mud,4,0.2,Exclusion
Mud,4,0.4,Exclusion
Mud,4,0.2,Exclusion
Mud,4,0.4,Exclusion
Mud,8,0.9,Exclusion
Mud,8,0.9,Exclusion
Mud,8,1,Exclusion
Mud,8,0.6,Exclusion
Mud,8,0.7,Exclusion
Mud,8,0.2,Exclusion
Mud,10,0.2,Exclusion
Mud,10,1,Exclusion
Mud,10,2,Exclusion
Mud,10,1.5,Exclusion
Mud,10,0.4,Exclusion
Mud,10,0.4,Exclusion
Mud,10,0.5,Exclusion
Mud,11,1.4,Exclusion
Mud,11,1.9,Exclusion
Mud,11,0.6,Exclusion
Mud,11,0.8,Exclusion
Mud,11,2.3,Exclusion
Sand,5,0.1,Exclusion
Sand,5,-0.3,Exclusion
Sand,6,0,Exclusion
Sand,6,-0.3,Exclusion
Sand,6,-0.4,Exclusion
Sand,6,-0.1,Exclusion
Sand,6,0.6,Exclusion
Sand,7,0.1,Exclusion
Sand,7,0,Exclusion
Sand,9,0.2,Exclusion
Sand,9,0.1,Exclusion
Sand,9,0,Exclusion
Mud,1,0.6,Uncaged
Mud,1,0.6,Uncaged
Mud,1,0.8,Uncaged
Mud,1,0,Uncaged
Mud,1,1.2,Uncaged
Mud,1,1.2,Uncaged
Mud,1,1.5,Uncaged
Mud,1,0.9,Uncaged
Mud,2,0.2,Uncaged
Mud,2,0.8,Uncaged
Mud,2,-0.1,Uncaged
Mud,2,-0.1,Uncaged
Mud,2,0.1,Uncaged
Mud,2,0,Uncaged
Mud,3,-0.2,Uncaged
Mud,3,-0.1,Uncaged
Mud,3,0.1,Uncaged
Mud,3,0,Uncaged
Mud,3,-0.1,Uncaged
Mud,3,-0.1,Uncaged
Mud,3,0,Uncaged
Mud,4,0.1,Uncaged
Mud,4,0,Uncaged
Mud,4,0.2,Uncaged
Mud,4,0.2,Uncaged
Mud,4,-0.1,Uncaged
Mud,4,0,Uncaged
Mud,4,-0.1,Uncaged
Mud,8,0,Uncaged
Mud,8,0,Uncaged
Mud,8,-0.1,Uncaged
Mud,8,-0.1,Uncaged
Mud,8,0,Uncaged
Mud,8,0.1,Uncaged
Mud,8,0.1,Uncaged
Mud,11,1.7,Uncaged
Mud,11,0.9,Uncaged
Mud,11,1.6,Uncaged
Mud,11,0.5,Uncaged
Mud,11,1.6,Uncaged
Mud,11,2.1,Uncaged
Mud,11,2.2,Uncaged
Sand,5,0.2,Uncaged
Sand,5,-0.2,Uncaged
Sand,5,0,Uncaged
Sand,5,-0.3,Uncaged
Sand,6,-0.3,Uncaged
Sand,6,-0.3,Uncaged
Sand,6,-0.4,Uncaged
Sand,6,-0.2,Uncaged
Sand,6,0,Uncaged
Sand,6,0.2,Uncaged
Sand,6,-0.3,Uncaged
Sand,7,0,Uncaged
Sand,7,-0.1,Uncaged
Sand,7,-0.1,Uncaged
Sand,7,0,Uncaged
Sand,7,-0.3,Uncaged
Sand,7,-0.2,Uncaged
Sand,7,-0.1,Uncaged
Sand,7,-0.1,Uncaged
Sand,7,-0.2,Uncaged
Sand,9,0,Uncaged
Sand,9,0,Uncaged
Sand,9,-0.1,Uncaged
Sand,9,0.1,Uncaged
Sand,9,0.1,Uncaged
Sand,9,0,Uncaged
Sand,9,0.2,Uncaged
Sand,9,-0.1,Uncaged
Sand,9,-0.3,Uncaged
