film,serp,lserp,spir,bugula
SL,94,1.973,0,4
SL,82,1.914,2,2
SL,74,1.869,2,8
SL,74,1.869,0,2
SL,122,2.086,2,14
SL,112,2.049,2,6
SL,60,1.778,0,12
UL,142,2.152,2,4
UL,80,1.903,0,6
UL,100,2,0,2
UL,154,2.188,4,14
UL,155,2.19,2,6
UL,192,2.283,2,8
UL,162,2.21,2,6
NL,156,2.193,2,10
NL,96,1.982,0,8
NL,178,2.25,0,4
NL,160,2.204,2,16
NL,138,2.14,0,4
NL,158,2.199,0,6
NL,202,2.305,0,14
F,127.5,2.106,0,4.125
F,203.5,2.309,0,6.125
F,107.5,2.031,0,2.125
F,115.5,2.063,2.875,8.125
F,139.5,2.145,0,2.125
F,159.5,2.203,0.875,8.125
F,86.5,1.937,0,18.125
