plant#,site,#leaves,sizeclass,maggot,water,seedmass,biomass
22,1,13,1,0,0,2.15,13.62
30,1,14,1,0,0,1.18,13.54
36,1,12,1,0,0,0.82,9.14
1,1,12,1,0,1,3.34,20.03
9,1,12,1,0,1,0.66,6.1
23,1,15,1,0,1,0.77,17.65
18,1,13,1,1,0,1.19,6.76
21,1,14,1,1,0,1.54,29.7
32,1,16,1,1,0,0.58,18.77
3,1,10,1,1,1,0.17,6.3
8,1,12,1,1,1,0.26,5.79
14,1,14,1,1,1,2.06,22.49
11,1,16,1,2,0,2.92,21.63
17,1,14,1,2,0,1.59,19.03
31,1,14,1,2,0,1.47,15.32
12,1,14,1,2,1,3.01,16.39
13,1,12,1,2,1,2.18,15.49
28,1,14,1,2,1,1.13,12.46
20,1,18,2,0,0,5.3,36.04
26,1,20,2,0,0,1.69,22.56
35,1,18,2,0,0,0.81,20.3
4,1,20,2,0,1,2.2,58.8
16,1,19,2,0,1,7.47,49.07
33,1,17,2,0,1,4.11,43.41
2,1,17,2,1,0,1.51,25.39
6,1,18,2,1,0,1.6,36.38
15,1,16,2,1,0,2.84,24.57
19,1,17,2,1,1,3.75,24
25,1,25,2,1,1,4.51,74.86
27,1,22,2,1,1,3.78,39.75
5,1,16,2,2,0,2,16.95
7,1,18,2,2,0,4.35,29.35
34,1,19,2,2,0,6.21,36.79
10,1,20,2,2,1,2.41,39.7
24,1,16,2,2,1,1.9,20.25
29,1,16,2,2,1,0.67,14.22
8,2,14,1,0,0,2.25,51.62
9,2,26,1,0,0,10.63,111.68
28,2,24,1,0,0,12.12,68.98
5,2,18,1,0,1,8.3,87.3
27,2,11,1,0,1,0.07,21.24
32,2,18,1,0,1,7.6,80.05
7,2,17,1,1,0,6.67,71.83
11,2,22,1,1,0,6.33,65.55
29,2,18,1,1,0,11.62,87.2
2,2,26,1,1,1,1.91,87.61
19,2,20,1,1,1,4.37,77.62
25,2,14,1,1,1,5.44,54.37
18,2,16,1,2,0,6.65,66.73
35,2,24,1,2,0,10.41,91.34
36,2,24,1,2,0,7.65,89.24
16,2,20,1,2,1,9.31,71.33
30,2,14,1,2,1,10.84,78.24
33,2,16,1,2,1,10.39,80.08
15,2,40,2,0,0,17.61,160.71
20,2,38,2,0,0,8.31,137.85
21,2,31,2,0,0,0.4,36.91
10,2,40,2,0,1,16.32,239.68
22,2,34,2,0,1,10.11,171.35
26,2,26,2,0,1,9.26,137.14
1,2,36,2,1,0,8.6,299.57
23,2,40,2,1,0,6.65,181.02
31,2,26,2,1,0,15.23,114
4,2,40,2,1,1,16.41,279.78
6,2,36,2,1,1,23.55,319.6
13,2,42,2,1,1,43.97,321.34
3,2,28,2,2,0,25.6,264.88
12,2,30,2,2,0,35.27,278.43
34,2,28,2,2,0,19.49,137.58
14,2,27,2,2,1,29.83,178.92
17,2,42,2,2,1,30.66,293.7
24,2,44,2,2,1,13.85,282.16
