selection,period,block,matlat
FSB,4,1,3
FSB,4,1,2
FSB,4,1,9
FSB,4,1,18
FSB,4,1,6
FSB,4,1,22
FSB,4,1,10
FSB,4,1,1
FSB,4,1,28
FSB,4,1,2
FSB,4,1,73
FSB,4,1,14
FSB,4,1,1
FSB,4,1,5
FSB,4,1,4
FSB,4,1,18
FSB,4,1,5
FSB,4,1,10
FSB,4,1,3
FSB,4,1,7
FSB,4,1,3
FSB,4,1,14
FSB,4,1,15
FSB,4,1,38
FSB,4,1,75
FSB,4,1,13
FSB,4,1,9
FSB,4,1,12
FSB,4,1,8
FSB,4,1,7
FSB,4,1,12
FSB,4,1,6
FSB,4,1,68
FSB,4,1,27
FSB,4,1,7
FSB,4,1,4
FSB,4,1,3
FSB,4,1,5
FSB,4,1,6
FSB,4,1,4
FSB,4,1,2
FSB,4,1,6
FSB,4,1,4
FSB,4,1,3
FCB,4,1,37
FCB,4,1,3
FCB,4,1,33
FCB,4,1,5
FCB,4,1,18
FCB,4,1,13
FCB,4,1,6
FCB,4,1,4
FCB,4,1,11
FCB,4,1,10
FCB,4,1,5
FCB,4,1,8
FCB,4,1,4
FCB,4,1,5
FCB,4,1,29
FCB,4,1,18
FCB,4,1,9
FCB,4,1,6
FCB,4,1,4
FCB,4,1,4
FCB,4,1,19
FCB,4,1,2
FCB,4,1,15
FCB,4,1,2
FCB,4,1,20
FCB,4,1,79
FCB,4,1,50
FCB,4,1,17
FCB,4,1,5
FCB,4,1,38
FCB,4,1,6
FCB,4,1,8
FCB,4,1,5
FCB,4,1,4
FCB,4,1,8
FCB,4,1,47
FCB,4,1,3
FCB,4,1,8
FCB,4,1,2
FCB,4,1,13
FSB,12,1,4
FSB,12,1,1
FSB,12,1,5
FSB,12,1,2
FSB,12,1,7
FSB,12,1,4
FSB,12,1,3
FSB,12,1,2
FSB,12,1,3
FSB,12,1,21
FSB,12,1,4
FSB,12,1,44
FSB,12,1,4
FSB,12,1,4
FSB,12,1,4
FSB,12,1,24
FSB,12,1,11
FSB,12,1,43
FSB,12,1,9
FSB,12,1,5
FSB,12,1,7
FSB,12,1,4
FSB,12,1,4
FSB,12,1,4
FSB,12,1,11
FSB,12,1,1
FSB,12,1,2
FSB,12,1,10
FSB,12,1,1
FSB,12,1,12
FSB,12,1,3
FSB,12,1,20
FSB,12,1,19
FSB,12,1,4
FSB,12,1,10
FSB,12,1,4
FSB,12,1,22
FSB,12,1,4
FSB,12,1,13
FSB,12,1,3
FSB,12,1,2
FSB,12,1,8
FSB,12,1,3
FSB,12,1,2
FSB,12,1,18
FSB,12,1,5
FSB,12,1,2
FSB,12,1,1
FSB,12,1,2
FSB,12,1,5
FSB,12,1,3
FSB,12,1,2
FCB,12,1,20
FCB,12,1,14
FCB,12,1,2
FCB,12,1,15
FCB,12,1,79
FCB,12,1,14
FCB,12,1,5
FCB,12,1,12
FCB,12,1,6
FCB,12,1,2
FCB,12,1,2
FCB,12,1,12
FCB,12,1,7
FCB,12,1,7
FCB,12,1,3
FCB,12,1,4
FCB,12,1,4
FCB,12,1,23
FCB,12,1,20
FCB,12,1,3
