date,pair,female,male,order,diet,exercise,group,wmass,yolkmass,albmass,yolkperc,lutein,vite
1/9/2012,a,521,507,1,con,none,con_none,1.1126,0.3517,0.5652,31.6106,104.6873621,235.4799398
1/9/2012,a,521,507,2,con,none,con_none,1.0873,0.3415,0.5902,31.4081,82.78189861,201.7932406
2/9/2012,a,521,507,3,con,none,con_none,,0.3596,0.5209,,65.15895937,128.228444
3/9/2012,a,521,507,4,con,none,con_none,1.071,0.3671,0.4784,34.2764,57.2506614,128.6021718
10/9/2012,b,535,517,1,con,none,con_none,1.0301,0.3049,0.4198,29.5991,85.66035928,126.9161677
11/9/2012,b,535,517,2,con,none,con_none,,,,,,
12/9/2012,b,535,517,3,con,none,con_none,0.9662,0.3047,0.4986,31.5359,62.58181818,84.15
13/9/2012,b,535,517,4,con,none,con_none,1.0453,0.3134,0.6056,29.9818,49.0937092,68.78140455
14/9/2012,b,535,517,5,con,none,con_none,1.0587,0.313,0.5685,29.5646,41.94054,64.642
31/10/2012,c,536,503,1,con,none,con_none,0.9553,0.2848,0.5363,29.8126,146.3611431,168.195328
31/10/2012,c,536,503,2,con,none,con_none,0.9484,0.2957,0.5027,31.1788,88.68992032,128.4068725
1/11/2012,c,536,503,3,con,none,con_none,1.0171,0.32,0.4774,31.462,67.543357,118.4061866
3/11/2012,c,536,503,4,con,none,con_none,0.9676,0.2896,0.5335,29.9297,61.51237762,86.03296703
14/9/2012,d,537,520,1,con,none,con_none,1.2556,0.3627,0.6709,28.8866,156.354012,82.70508982
15/9/2012,d,537,520,2,con,none,con_none,1.2696,0.3461,0.675,27.2606,87.18436309,60.03009027
16/9/2012,d,537,520,3,con,none,con_none,1.2625,0.3454,0.6787,27.3584,66.55418838,88.89278557
18/9/2012,d,537,520,4,con,none,con_none,1.1535,0.3437,0.6586,29.7963,59.10177533,60.52306921
19/9/2012,d,537,520,5,con,none,con_none,1.245,0.3117,0.7627,25.0361,78.29621272,65.42345924
7/9/2012,e,581,515,1,con,none,con_none,1.1848,0.3561,0.6334,30.0557,59.66136821,82.27917505
11/9/2012,e,581,515,2,con,none,con_none,1.1361,0.3463,0.629,30.4815,51.18796781,61.91096579
13/9/2012,e,581,515,3,con,none,con_none,1.2949,0.4045,0.6621,31.2379,62.54531809,62.25695825
31/8/2012,f,522,519,1,con,ex,con_ex,1.1778,0.3649,0.6293,30.9815,113.1353668,180.1834171
1/9/2012,f,522,519,2,con,ex,con_ex,1.0829,0.3534,0.5713,32.6346,84.6940748,116.2416339
4/9/2012,f,521,507,3,con,ex,con_ex,1.1279,0.3552,0.5821,31.4922,54.3997006,88.30738523
5/9/2012,f,522,519,4,con,ex,con_ex,1.1792,0.3592,0.6155,30.4613,42.8064759,102.5251004
2/10/2012,g,524,512,1,con,ex,con_ex,1.1249,0.3152,0.659,28.0203,53.90234171,86.75527638
3/10/2012,g,524,512,2,con,ex,con_ex,1.2358,0.3729,0.6978,30.1748,35.49294,109.425
4/10/2012,g,524,512,3,con,ex,con_ex,1.2419,0.3562,0.6502,28.6819,29.86142572,54.83599202
