matingnumber,individual,time
first,1,250
first,2,96
first,3,162
first,4,245
first,5,11
first,6,6
first,7,17
first,8,38
first,9,16
first,10,59
first,11,24
first,12,18
first,13,5
first,14,5
first,15,5
first,16,10
first,17,189
first,18,62
second,1,220
second,2,300
second,3,300
second,4,22
second,5,6
second,6,35
second,7,300
second,8,7
second,9,145
second,10,6
second,11,34
second,12,300
second,13,300
second,14,6
second,15,85
second,16,36
second,17,300
second,18,300
third,1,300
third,2,16
third,3,8
third,4,300
third,5,300
third,6,10
third,7,47
third,8,85
third,9,300
third,10,80
third,11,250
third,12,190
third,13,11
third,14,300
third,15,300
third,16,300
third,17,300
third,18,105
fourth,1,147
fourth,2,300
fourth,3,300
fourth,4,12
fourth,5,31
fourth,6,300
fourth,7,298
fourth,8,300
fourth,9,114
fourth,10,115
fourth,11,300
fourth,12,300
fourth,13,300
fourth,14,24
fourth,15,11
fourth,16,300
fourth,17,300
fourth,18,300
fifth,1,54
fifth,2,30
fifth,3,5
fifth,4,93
fifth,5,20
fifth,6,6
fifth,7,20
fifth,8,300
fifth,9,6
fifth,10,6
fifth,11,16
fifth,12,6
fifth,13,7
fifth,14,50
fifth,15,32
fifth,16,25
fifth,17,65
fifth,18,63
