indiv,species,segment,finalttx,ttxweight,conc
1,Badventitium,h,59.94213032,29.97106516,78.86305144
1,Badventitium,p,18.3305838,0.223543705,26.8486183
1,Badventitium,b,36.83752658,0.635129769,49.98229677
2,Badventitium,h,62.03382496,62.03382496,81.47766974
2,Badventitium,p,46.97613291,0.626348439,62.65555468
2,Badventitium,b,61.31648282,0.943330505,80.58099207
3,Badventitium,h,29.10443958,14.55221979,41.90968157
3,Badventitium,p,50.8821963,1.884525789,69.13187747
3,Badventitium,b,66.45413127,4.746723662,88.59679619
4,Badventitium,h,46.06496577,23.03248288,63.11033931
4,Badventitium,p,55.28901893,1.08409841,74.64040577
4,Badventitium,b,64.83254854,1.752231042,86.56981777
5,Badventitium,h,40.35300149,20.17650074,55.97038396
5,Badventitium,p,42.50829978,0.674734917,58.66450683
5,Badventitium,b,83.6290437,2.697711087,110.0654367
6,Badventitium,h,45.77367827,45.77367827,62.74622993
6,Badventitium,p,75.43794798,2.285998424,99.82656707
6,Badventitium,b,66.19827848,3.677682138,88.2769802
7,Bkewense,h,108.3961824,21.67923649,182.7207597
7,Bkewense,p,58.13133161,2.076118986,76.59955306
7,Bkewense,b,6.653189222,0.055443244,12.25187507
8,Bkewense,h,100.1203169,12.51503962,166.8671949
8,Bkewense,p,26.9448733,0.316998509,37.61648017
8,Bkewense,b,50.7615139,0.319254804,67.38728092
9,Bkewense,h,78.1993756,15.63987512,103.2783516
9,Bkewense,p,9.360317385,0.070911495,17.22952883
9,Bkewense,b,49.69510627,1.713624354,67.64801493
10,Bkewense,h,51.97282439,17.3242748,70.49516258
10,Bkewense,p,49.73426235,0.681291265,67.69696004
10,Bkewense,b,50.48363426,1.802986938,68.63367493
11,Bkewense,h,75.66932577,25.22310859,100.1157893
11,Bkewense,p,19.08256974,0.205188922,29.38234427
11,Bkewense,b,76.36748908,2.314166336,100.9884935
12,Bkewense,h,53.08495973,26.54247987,71.88533177
12,Bkewense,p,49.26625326,0.746458383,67.11194867
12,Bkewense,b,44.94555422,1.664650156,61.71107487
