sex,stage,hg
F,CR,0.530373724
F,CR,0.655952268
F,CR,0.664592849
F,CR,0.721696384
F,CR,0.757318044
F,CR,0.789251839
F,CR,0.789871187
F,CR,0.790193277
F,CR,0.796605264
F,CR,0.821039575
F,CR,0.840562402
F,CR,0.894777978
F,CR,0.909367376
F,CR,1.031167613
F,CR,1.035711744
F,CR,1.195187217
F,CR,1.217339678
M,CR,1.499770987
M,CR,1.516288934
M,CR,1.175619807
M,CR,0.718780429
M,CR,1.770969561
M,CR,0.794287127
M,CR,0.810290719
M,CR,0.904526788
M,CR,1.076951235
M,CR,1.36069804
M,CR,1.201327528
M,CR,1.099445973
M,CR,1.658208075
M,CR,1.50841592
M,CR,1.445304327
M,CR,1.223041658
M,CR,1.016739847
M,CR,0.645766932
M,CR,1.005302862
M,CR,1.026673014
M,CR,0.708662639
F,I,1.97299677
F,I,1.169525901
F,I,1.601617947
F,I,0.929699802
F,I,1.534698885
F,I,1.375499603
F,I,1.291234386
F,I,0.912514078
F,I,1.25384501
F,I,1.914709157
F,I,1.706107211
F,I,1.066495144
F,I,1.605963556
F,I,1.768758963
F,I,1.498493979
F,I,1.247875045
F,I,1.419801859
F,I,0.971204534
F,I,1.664806255
F,I,0.979491607
F,I,0.884107826
F,I,0.997389642
F,I,1.586558704
F,I,0.726691645
F,I,1.113226974
F,I,1.402311658
F,I,1.512564103
F,I,1.02965388
F,I,0.880616521
F,I,0.848330901
F,I,0.711978805
F,I,1.374106919
F,I,0.957294069
F,I,1.445693147
F,I,0.970405783
F,I,0.70282871
F,I,0.840952717
F,I,1.161129295
F,I,0.774033884
F,I,1.125643101
F,I,1.392987827
F,I,0.9138703
F,I,1.297584587
F,I,1.20315227
F,I,1.563833464
F,I,1.035583062
F,I,0.867039964
F,I,1.882423806
M,I,2.268457736
M,I,1.648901495
M,I,2.963838182
M,I,2.070868033
M,I,1.16494434
M,I,1.59276021
M,I,2.735584138
M,I,1.003212634
M,I,1.645598992
M,I,2.406140325
M,I,1.686742324
M,I,1.209228869
M,I,1.972440862
M,I,1.642690672
M,I,2.046037351
M,I,2.070984988
M,I,2.059547011
M,I,2.341783702
M,I,1.413852138
M,I,2.463829837
M,I,2.100323273
M,I,1.995380786
M,I,2.016783289
M,I,1.206226287
M,I,1.977498439
M,I,1.35780279
M,I,1.660258534
M,I,1.951383999
M,I,2.230541652
M,I,1.724691223
M,I,1.992382563
M,I,1.331491904
M,I,2.115335851
M,I,0.817789598
M,I,1.676172289
M,I,1.758736623
M,I,2.065117932
M,I,1.643090746
M,I,1.077656374
M,I,1.870705382
M,I,1.614321969
M,I,1.01032928
M,I,1.289171892
M,I,1.225218243
