Plasmodium,HL
0,27.2
0,27
1,27.2
0,22.6
0,34.6
0,32.4
0,26
0,20.5
0,26.2
1,31.8
1,30.2
0,29.9
1,35.2
0,31.8
1,37.4
0,24.8
0,21.1
0,32.4
0,22.8
0,27.2
0,31.4
1,19.7
0,33.4
0,20.6
0,29.3
1,37.4
0,27.2
1,33.5
0,32.4
0,25.4
0,36.1
0,27.2
0,29
1,26.4
0,32.4
0,27.1
0,27.9
1,52
0,29.3
0,28.4
0,25.6
1,45.1
0,29.1
0,27.7
0,35.2
0,36.3
1,21.4
0,28.3
0,34.5
0,21.8
0,29.3
0,26.4
1,29
0,24.1
0,27.7
0,39.2
0,29
0,30.2
0,30.2
1,25.5
0,39
1,31.2
0,35.9
1,31.9
0,38
0,31.4
1,19.5
1,37.5
1,38.2
0,26.4
1,34.5
0,19.1
0,22.1
0,26.4
1,41.6
0,22.5
1,31.8
1,28.9
0,30.5
0,26.5
0,27
0,42.6
1,28.8
1,24.6
0,28.2
0,24.9
1,21.5
1,31.3
1,33.2
1,44.6
0,22.6
0,33.1
1,39.3
0,30.4
1,30.3
1,24.2
0,23.4
1,36
0,32.9
0,33.5
0,30.8
0,34.1
0,28.3
0,23.6
0,36.8
0,26.1
0,23.1
1,35
0,32.4
0,27.1
1,45.7
0,17.5
0,38.6
0,23.8
0,37.6
0,22.8
0,37.2
0,32.4
0,33.9
0,30.5
0,29.1
0,30.2
0,20.7
0,28.1
1,38.1
0,21.6
0,24.4
0,25.6
0,34.4
0,24.8
0,29
1,28.7
0,30.7
0,33.2
0,26.2
0,33.4
0,23.8
0,28.4
1,22.9
0,30.7
0,31.5
1,45.8
0,26.9
1,25.5
0,41.2
0,27.7
1,34.4
0,14.5
1,22.9
1,37.7
1,23.4
0,30.3
0,29.5
0,34.1
1,47.2
0,14.1
0,23
1,34.9
1,26.4
1,31.2
0,21.8
0,35.7
0,27
0,32.9
0,25.9
1,44.9
0,29.6
0,25
0,21.3
0,32.1
1,22.4
0,33.3
0,18.1
1,30
1,47
0,23.4
1,23.4
0,18
