block,om,bivalve,fsulfide
B1,C,C,19.83133245
B1,C,Added,21.03707545
B1,OM,C,27.33172852
B1,OM,Added,22.18404001
B2,C,C,16.07734934
B2,C,Added,18.51201237
B2,OM,C,27.03725349
B2,OM,Added,23.13485194
B3,C,C,24.48036052
B3,C,Added,19.08550371
B3,OM,C,22.93027881
B3,OM,Added,23.65810384
B4,C,C,15.86299452
B4,C,Added,20.8395881
B4,OM,C,24.68295869
B4,OM,Added,20.93471447
B5,C,C,23.59795774
B5,C,Added,17.53685087
B5,OM,C,27.63450365
B5,OM,Added,21.98405238
B6,C,C,21.71975944
B6,C,Added,17.79769689
B6,OM,C,22.05118584
B6,OM,Added,21.97845239
