clone_plant_combination,honeydew,clone,plant,hostplant
T_Vicia,1.08,T,Vicia,Universal
T_Vicia,2.21,T,Vicia,Universal
T_Vicia,2.63,T,Vicia,Universal
T_Vicia,1.63,T,Vicia,Universal
T_Vicia,3.51,T,Vicia,Universal
T_Vicia,2.53,T,Vicia,Universal
T_Vicia,2.92,T,Vicia,Universal
T_Vicia,0.98,T,Vicia,Universal
T_Vicia,2.39,T,Vicia,Universal
T_Vicia,2.05,T,Vicia,Universal
T_Trifolium,0.36,T,Trifolium,Natie
T_Trifolium,0.74,T,Trifolium,Natie
T_Trifolium,1,T,Trifolium,Natie
T_Trifolium,0.79,T,Trifolium,Natie
T_Trifolium,0.55,T,Trifolium,Natie
T_Trifolium,1.05,T,Trifolium,Natie
T_Trifolium,1.46,T,Trifolium,Natie
T_Trifolium,1.09,T,Trifolium,Natie
P1_Vicia,1.03,P1,Vicia,Universal
P1_Vicia,2.48,P1,Vicia,Universal
P1_Vicia,1.31,P1,Vicia,Universal
P1_Vicia,4.33,P1,Vicia,Universal
P1_Vicia,2.33,P1,Vicia,Universal
P1_Vicia,2.68,P1,Vicia,Universal
P1_Vicia,3.34,P1,Vicia,Universal
P1_Vicia,2.46,P1,Vicia,Universal
P1_Vicia,2.74,P1,Vicia,Universal
P1_Vicia,5.83,P1,Vicia,Universal
P1_Pisum,0.89,P1,Pisum,Natie
P1_Pisum,1.69,P1,Pisum,Natie
P1_Pisum,1.52,P1,Pisum,Natie
P1_Pisum,2.87,P1,Pisum,Natie
P1_Pisum,3.54,P1,Pisum,Natie
P1_Pisum,3.76,P1,Pisum,Natie
P1_Pisum,1.96,P1,Pisum,Natie
M1_Vicia,1.06,M1,Vicia,Universal
M1_Vicia,0.88,M1,Vicia,Universal
M1_Vicia,1.87,M1,Vicia,Universal
M1_Vicia,1.42,M1,Vicia,Universal
M1_Vicia,0.39,M1,Vicia,Universal
M1_Vicia,1.2,M1,Vicia,Universal
M1_Vicia,0.39,M1,Vicia,Universal
M1_Vicia,1.41,M1,Vicia,Universal
M1_Medicago,0.88,M1,Medicago,Natie
M1_Medicago,0.59,M1,Medicago,Natie
M1_Medicago,1.08,M1,Medicago,Natie
M1_Medicago,2.71,M1,Medicago,Natie
M1_Medicago,1.63,M1,Medicago,Natie
M1_Medicago,2.98,M1,Medicago,Natie
M1_Medicago,2.94,M1,Medicago,Natie
M1_Medicago,2.43,M1,Medicago,Natie
M1_Medicago,2.34,M1,Medicago,Natie
