block,soil,ngerm,nleaves,nflowers,nalive,totbiomass,abovebiomass,belowbiomass
1,Moon,3,2,0,2,2.3,2.3,0.1
1,Earth,5,4,0,4,8.3,4.5,3.8
1,Mars,4,4,0,4,106.7,90.7,16
2,Moon,4,4,0,4,3,2.4,0.6
2,Mars,5,5,0,5,72.5,65.4,7.1
2,Earth,4,4,0,4,8.3,4.4,3.9
3,Mars,5,5,0,5,50.6,34.4,16.2
3,Earth,4,4,0,4,26.7,8.8,17.9
3,Moon,4,4,0,4,10.3,7.4,2.9
4,Earth,3,3,0,3,11.5,7.3,4.2
4,Mars,4,4,0,4,70.5,53.6,16.9
4,Moon,3,3,0,3,2.5,1.3,1.2
5,Mars,4,3,0,4,58.3,50.3,8
5,Earth,5,5,0,5,16.2,9.1,7.1
5,Moon,3,3,0,3,2.1,1.5,0.6
6,Moon,2,2,0,2,4.3,3.8,0.5
6,Earth,5,5,0,4,8.9,4.7,4.2
6,Mars,5,5,0,5,123.4,93.4,30
7,Earth,5,5,0,5,15.3,9.5,5.8
7,Mars,4,4,0,4,41.1,32.9,8.2
7,Moon,3,3,0,3,1.3,1.1,0.2
8,Moon,4,4,0,3,3.5,2.1,1.4
8,Mars,5,5,0,5,103.7,58.4,45.3
8,Earth,5,5,0,5,13.3,7.8,5.5
9,Earth,5,5,0,5,49.9,10.5,39.4
9,Moon,4,4,0,3,1.9,0.8,1.1
9,Mars,4,4,0,3,53,43.8,9.2
10,Earth,4,4,0,4,18,6.5,11.5
10,Mars,3,3,0,3,62.7,39.3,23.4
10,Moon,4,4,0,4,3,2.8,0.2
11,Earth,4,4,0,4,12.9,6.8,6.1
11,Moon,3,2,0,2,2,1.5,0.5
11,Mars,5,5,0,5,62.6,42.2,20.4
12,Moon,2,2,0,2,1.7,0.9,0.8
12,Mars,3,3,0,3,72.6,58.9,13.7
12,Earth,5,5,0,5,8,5.5,2.5
13,Earth,5,5,0,4,17,11,6
13,Mars,5,5,0,5,74.6,64.1,10.5
13,Moon,4,4,0,4,7.1,4.5,2.6
14,Earth,5,5,0,5,25.6,9.1,16.5
14,Mars,4,4,0,4,44.1,32.8,11.3
14,Moon,2,2,0,2,2,1,1
15,Earth,5,5,0,5,19,14.6,4.4
15,Mars,4,4,0,4,40,34.5,5.5
15,Moon,3,3,0,3,1.8,1.4,0.4
16,Mars,5,5,0,5,142.9,81.4,61.5
16,Moon,1,1,0,1,1.4,0.8,0.6
16,Earth,3,3,0,3,7.1,3.7,3.4
17,Earth,5,5,0,5,23.2,14.6,8.6
17,Mars,5,5,0,4,57,45.5,11.5
17,Moon,3,3,0,3,6,3.2,2.8
18,Mars,4,3,0,4,75.8,51.4,24.4
18,Earth,4,4,0,4,28.7,16,12.7
18,Moon,1,1,0,1,1.4,0.7,0.7
19,Mars,5,5,0,5,43.2,31.9,11.3
19,Moon,5,5,0,5,4.3,2,2.3
19,Earth,4,4,0,4,20.9,15.9,5
20,Earth,3,3,0,3,14,10,4
20,Moon,5,5,0,4,3.1,1.8,1.3
20,Mars,5,5,0,5,82.9,60,22.9
