ca,cr,cu,fe,mn,pb,zn,cd,mg,ni,soc,ph,n,k,p,landuse,group
0.81,66.25,20.392,3.467,633.3,21.47,68.85,0.175,1.4,25.94,0.59,6.82,710.7,2.122,597.06,Dryland,1
0.466,43.78,10.294,2.044,228.9,22.45,36.47,0.134,0.482,13.3,0.84,6.17,744.7,1.518,304.95,Paddy,2
0.932,69.99,25.588,3.777,569,25.59,78.13,0.227,1.59,31.32,0.98,6.13,1122.7,2.61,701.92,Dryland,1
0.81,60.63,19.902,3.542,546.1,25.29,67.55,0.175,1.232,26.23,0.977,6.33,1025.9,2.163,481.5,Orchard,3
0.322,46.49,7.441,2.087,238.7,20.88,28.85,0.096,0.403,12.17,0.63,5.41,647.9,1.383,374.5,Paddy,2
0.91,76.13,24.314,4.045,832.8,24.12,77.96,0.185,1.602,33.02,0.582,6.92,657.1,2.413,682.66,Paddy,2
1.088,73.22,28.529,3.938,680.2,26.08,94.58,0.35,1.669,31.04,0.87,6.82,832.2,2.288,1011.15,Dryland,1
1.199,66.77,32.157,3.552,735.8,25.1,145.42,0.258,1.49,30.75,1.17,7.34,1346.2,2.475,2474.91,Dryland,1
0.4,44.51,7.794,1.755,164.6,20.88,28.92,0.134,0.381,10,0.86,5.86,802.4,1.622,291.04,Paddy,2
0.855,69.68,25.196,3.638,737.9,25.69,77.45,0.34,1.299,30.19,0.874,6.67,1015.6,2.298,892.38,Dryland,1
0.655,56.06,15.294,2.761,626.8,21.96,42.65,0.144,0.896,19.62,0.43,6.97,501.6,1.664,231.12,Dryland,1
0.788,73.63,20.98,3.681,809.9,23.04,68.41,0.175,1.243,28.58,0.62,6.85,731.3,2.226,515.74,Paddy,2
1.121,76.86,27.353,4.045,699.8,25.29,88.07,0.258,1.736,33.96,0.685,6.76,820.9,2.517,983.33,Paddy,2
1.232,74.78,29.706,4.045,748.8,26.47,88.97,0.206,1.747,36.23,0.66,7.86,648.9,2.444,908.43,Dryland,1
0.977,71.55,28.824,3.724,746.7,26.86,93.83,0.35,1.456,35.47,0.634,6.52,937.3,2.465,1040.04,Dryland,1
0.733,75.82,23.922,3.863,530.8,25.1,75.92,0.258,1.4,31.51,0.82,6.82,911.6,2.246,359.52,Paddy,2
0.333,47.32,8.912,2.076,152.6,21.57,34.04,0.124,0.358,11.89,0.67,5.66,775.6,1.258,386.27,Paddy,2
0.844,52.1,15.098,2.515,450.2,19.61,48.66,0.165,0.829,20.57,0.54,8.14,461.4,2.018,486.85,Dryland,1
0.355,38.9,8.637,1.562,140.6,20.88,48.23,0.155,0.291,9.31,0.788,6.15,817.8,1.29,448.33,Paddy,2
0.833,67.29,22.451,3.392,406.6,26.67,80.18,0.371,1.243,29.43,1.269,6.76,1191.7,2.205,639.86,Paddy,2
0.71,64.48,20.588,3.349,393.5,24.12,71.89,0.319,1.187,25.85,1.037,6.61,1077.4,2.205,501.83,Paddy,2
0.466,40.14,7.882,1.926,208.2,21.37,33.48,0.113,0.426,10.19,0.86,5.74,863.1,1.706,564.96,Paddy,2
1.221,76.75,30.294,4.205,735.8,27.45,92.07,0.299,1.725,37.26,0.462,7.96,556.2,2.61,903.08,Dryland,1
0.755,44.1,9.804,3.039,596.2,21.86,52.85,0.134,0.829,19.72,0.573,6.01,553.1,1.893,510.39,Dryland,1
0.422,39.94,8.49,1.605,160.2,22.75,36.75,0.196,0.392,11.51,0.814,6.74,810.6,1.726,285.69,Paddy,2
0.344,46.59,10,2.354,195.1,21.76,40.11,0.155,0.437,11.98,0.213,5.6,842.5,1.404,719.04,Dryland,1
0.944,70.72,25,3.831,686.7,28.43,84.17,0.288,1.467,31.04,0.96,6.33,989.8,2.288,1082.84,Paddy,2
0.511,49.19,13.137,2.675,595.1,24.02,51.1,0.227,0.773,20.19,0.54,5.91,570.6,1.945,455.82,Dryland,1
0.566,67.5,16.569,3.413,1059.5,24.12,64.91,0.196,1.03,26.42,0.762,6.33,634.5,1.986,292.11,Paddy,2
0.322,51.79,10.588,2.408,159.1,21.86,36.81,0.165,0.392,11.7,0.98,5.56,888.9,1.113,549.98,Dryland,1
0.81,50.86,14.314,2.654,589.7,25.39,54.74,0.237,0.806,20.09,0.694,5.5,564.4,1.716,841.02,Dryland,1
0.688,45.03,13.235,2.686,628.9,22.94,49.15,0.155,0.627,16.04,0.616,6.05,634.5,1.643,730.81,Paddy,2
0.523,63.11,20.3,2.93,361.2,26.9,63.74,0.24,0.937,23.59,1.14,5.54,874.9,1.988,299.25,Paddy,2
0.511,50.44,13.627,2.386,281.2,22.55,46.33,0.216,0.75,19.62,0.737,5.77,722,1.997,310.3,Orchard,3
2.082,72.66,23.4,3.57,707.7,24.5,90.91,0.21,1.493,31.17,0.798,8.17,932.1,2.379,725.55,Dryland,1
1.243,74.15,23.922,3.938,817.5,23.63,91.46,0.216,1.669,31.98,0.668,7.7,701.4,2.454,771.47,Orchard,3
0.3,49.09,9.804,1.53,192.9,22.65,35.45,0.206,0.347,12.08,1.192,6.11,1065,1.269,265.36,Paddy,2
0.3,43.37,10.196,1.947,135.2,20.98,32.21,0.196,0.347,11.04,1.02,5.5,947.6,1.113,335.98,Paddy,2
0.522,49.61,12.745,2.354,451.3,21.47,46.19,0.206,0.65,17.36,0.651,6.31,720,1.882,482.57,Orchard,3
0.422,46.49,10.294,2.033,227.8,25.1,41.84,0.165,0.459,13.4,0.977,5.74,1032.1,1.602,699.78,Paddy,2
0.999,73.11,24.804,3.97,708.5,25,84.26,0.185,1.658,30.47,0.616,5.97,876.5,2.34,713.69,Orchard,3
0.322,50.02,10.196,2.311,182,21.27,37.88,0.134,0.336,11.7,0.719,5.69,687,0.998,332.77,Dryland,1
0.944,69.68,23.529,3.692,687.8,24.31,74.05,0.155,1.557,30.75,0.513,6.96,685,2.319,590.64,Orchard,3
0.322,47.63,10,1.787,178.8,23.82,38.4,0.206,0.414,13.3,1.18,5.74,986.7,1.134,274.99,Paddy,2
0.733,73.01,25.392,3.927,576.6,28.24,79.52,0.216,1.422,32.26,0.857,5.64,947.6,2.434,497.55,Orchard,3
0.389,45.45,9.029,2.14,201.7,24.22,39.67,0.124,0.47,12.74,0.92,5.55,991.9,1.664,499.69,Paddy,2
0.311,43.89,9.627,1.808,165.7,22.06,32.75,0.144,0.381,11.79,0.779,5.84,901.3,1.102,296.39,Paddy,2
0.333,36.61,8.431,2.012,220.2,19.51,32.72,0.103,0.381,10.75,0.754,5.35,765.3,1.383,455.82,Dryland,1
0.322,51.9,11.176,2.194,255.1,21.76,31.83,0.134,0.392,13.77,0.634,5.95,544.9,1.186,204.37,Orchard,3
0.311,50.96,23.039,1.905,202.7,22.75,42.54,0.258,0.381,15,1.011,5.95,967.2,1.102,520.02,Dryland,1
0.4,46.18,9.5,2.151,323.7,26.27,41.74,0.237,0.482,13.96,0.573,5.72,662.3,1.581,691.22,Dryland,1
0.785,70.04,22.2,3.371,490.4,26.7,73.97,0.24,1.363,28.06,0.989,6.05,1085.7,2.421,490.35,Paddy,2
0.266,36.4,7.735,1.53,129.7,20.69,30.87,0.135,0.336,9.91,1.011,5.84,1055.8,1.57,375.57,Dryland,1
0.316,39.17,9.41,1.796,191.1,22.3,28.31,0.11,0.36,10.78,1.01,5.09,780,1.36,1150.8,Paddy,2
