e100,depth,rc,temp,salinity,seasprod,icefree,prod,lat,lon,sprich
13.07835929,26,2,-0.8923,31.2973,2.407069488,293.3,62.2709046,70.3,-146.08,14
11.50393789,31,2,-0.8991,31.3444,2.726143023,307.3,46.83229563,70.35,-146.57,12
11.98495746,27,2,-0.756,31.2805,4.244606629,330.8,64.8012962,70.22,-148.07,14
14.64481452,41,2,-0.8733,31.9668,3.300004614,322.4,18.04454704,70.82,-148.05,15
21.63442633,24,2,-1.2173,31.4632,2.924773838,322.9,28.1575449,70.73,-148.8,23
7.794046938,19.8,2,-0.8745,30.7309,2.862883285,313.6,46.2440839,70.87,-150.5,10
6.870186558,39,2,-0.9741,31.2562,2.39576339,298.4,77.2498188,70.14,-145.48,7
12.41905119,26,2,-0.8991,31.3444,2.726143023,307.3,46.83229563,70.36,-146.6,16
9.235466516,19,2,-0.8745,30.7309,3.27417203,316,36.79187201,70.99,-150.53,10
7.617344889,4,2,-0.4913,28.2688,2.161362972,291.2,106.3568752,70.46,-148.77,8
6.663122939,5.8,2,-1.29,31.16,2.501879642,308.4,71.604238,70.56,-149.45,7
11.90938807,11,2,-1.315,31.2286,2.337552291,301.3,98.1563487,70.57,-149.45,15
5.229980411,5,2,-1.315,31.2286,2.337552291,301.3,98.1563487,70.56,-149.46,6
12.74809193,19.5,2,-1.1671,30.9923,2.311520443,290.9,86.4431529,70.52,-147.82,14
9.697510249,5.8,2,-1.2776,30.2478,2.12174278,289.6,110.1650039,70.32,-147.56,12
13.71698785,6.5,2,-1.3206,30.6793,2.12174278,289.6,110.1650039,70.3,-147.5,15
4.429012291,1.8,2,-0.8411,28.9594,2.158876048,292.9,149.148385,70.59,-151.96,5
5.115856326,1.5,2,-0.4913,28.2688,2.161362972,291.2,106.3568752,70.47,-148.85,6
6.552801151,1.8,2,-0.4913,28.2688,2.086063217,288.5,115.3947681,70.43,-148.67,9
10.53286017,13.4,2,-1.0991,30.0739,2.582560301,306.1,59.3993048,70.27,-146.5,11
10.08769198,4,2,-0.1329,27.2346,2.550299856,305.6,75.3283775,70.2,-146.5,16
12.92294513,14,2,-1.0814,31.2584,2.329531816,295.7,107.8377679,70.64,-150.5,13
7.862959788,12.5,2,-1.108,30.0992,2.199881014,292.8,94.7263046,70.27,-146.61,8
7.974987148,6,2,-1.1109,29.8816,2.19120124,292,95.5367748,70.27,-146.85,9
12.44647906,22,2,-1.0154,31.4083,2.637698855,307.7,54.7112934,70.82,-150.04,13
14.13298415,23,2,-1.0154,31.4083,2.637698855,307.7,54.7112934,70.83,-150.2,17
15.13419488,17.5,2,-0.8745,30.7309,3.27417203,316,36.79187201,70.96,-150.64,16
20.29394052,14.1,2,-1.3396,30.9188,2.248472961,291.7,90.4688632,70.52,-148.17,37
6.69253479,5,2,-1.2413,29.7754,2.237993177,287.7,94.6749239,69.68,-141.32,7
17.69536701,34,2,-1.3563,31.4208,2.134952123,270.9,100.7725201,69.88,-141.15,20
17.12484704,32,2,-1.3563,31.4208,2.138518714,270.9,102.5794933,69.89,-141.24,21
13.98178018,30,2,-1.3097,31.4454,2.09403743,272.5,101.9757827,69.82,-141.26,19
15.31708587,23,2,-1.3021,30.6584,2.082981823,278.1,97.9528357,69.79,-141.37,17
14.88627464,16.5,2,-1.3021,30.6584,2.240000008,288.5,90.5177704,69.75,-141.44,21
